Date,Forecast,Lower_CI,Upper_CI
1552780800000,921.5389527607,-606.8208007876,2449.8987063089
1552867200000,968.4297038619,-559.9300496864,2496.7894574101
1552953600000,1006.1967977564,-522.1629557918,2534.5565513047
1553040000000,1030.079109833,-498.2806437152,2558.4388633813
1553126400000,1050.8821846899,-477.4775688583,2579.2419382381
1553212800000,1069.6325331519,-458.7272203963,2597.9922867002
1553299200000,1087.1550790669,-441.2046744813,2615.5148326151
1553385600000,1103.6522739564,-424.7074795919,2632.0120275046
1553472000000,1119.2388691785,-409.1208843697,2647.5986227268
1553558400000,1133.9791693712,-394.380584177,2662.3389229195
1553644800000,1147.9241368017,-380.4356167465,2676.28389035
1553731200000,1161.118131589,-367.2416219592,2689.4778851372
1553817600000,1173.602071314,-354.7576822343,2701.9618248622
1553904000000,1185.4143128024,-342.9454407459,2713.7740663506
1553990400000,1196.5910427098,-331.7687108384,2724.950796258
