Date,Forecast,Lower_CI,Upper_CI
1552780800000,847.9632882133,21.8400289477,1674.0865474788
1552867200000,889.799448207,63.6761889415,1715.9227074726
1552953600000,913.1043966078,86.9811373422,1739.2276558733
1553040000000,926.8177077528,100.6944484873,1752.9409670184
1553126400000,936.9414941926,110.818234927,1763.0647534582
1553212800000,945.0933772918,118.9701180263,1771.2166365574
1553299200000,951.9374449642,125.8141856986,1778.0607042297
1553385600000,957.772128935,131.6488696694,1783.8953882005
1553472000000,962.7750912112,136.6518319456,1788.8983504767
1553558400000,967.0738591353,140.9505998697,1793.1971184008
1553644800000,970.7703584848,144.6470992192,1796.8936177504
1553731200000,973.9498414534,147.8265821878,1800.0731007189
1553817600000,976.6848929942,150.5616337287,1802.8081522598
1553904000000,979.0377206842,152.9144614186,1805.1609799498
1553990400000,981.0617666419,154.9385073764,1807.1850259075
