Date,Forecast,Lower_CI,Upper_CI
1544054400000,1610.9185032723,104.2815395066,3117.5554670379
1544140800000,1763.9225763199,257.2856125542,3270.5595400855
1544227200000,1861.3588640685,354.7219003029,3367.9958278342
1544313600000,1921.2037155122,414.5667517466,3427.8406792779
1544400000000,1969.788493205,463.1515294393,3476.4254569706
1544486400000,2010.8921178262,504.2551540605,3517.5290815918
1544572800000,2046.3608150319,539.7238512662,3552.9977787976
1544659200000,2077.0880599144,570.4510961487,3583.7250236801
1544745600000,2103.7405369542,597.1035731885,3610.3775007198
1544832000000,2126.8653210577,620.2283572921,3633.5022848234
1544918400000,2146.9309480553,640.2939842896,3653.567911821
1545004800000,2164.3424630383,657.7054992726,3670.979426804
