Date,Forecast,Lower_CI,Upper_CI
1544313600000,2116.432027904,1260.7507504092,2972.1133053988
1544400000000,2170.5710749214,1314.8897974266,3026.2523524162
1544486400000,2208.8232109583,1353.1419334636,3064.5044884531
1544572800000,2223.6990631702,1368.0177856754,3079.380340665
1544659200000,2228.9488146885,1373.2675371938,3084.6300921833
1544745600000,2232.8470876136,1377.1658101188,3088.5283651084
1544832000000,2233.0642929285,1377.3830154337,3088.7455704233
1544918400000,2234.3885067217,1378.7072292269,3090.0697842165
1545004800000,2233.9601021458,1378.278824651,3089.6413796406
1545091200000,2234.5856693243,1378.9043918295,3090.2669468191
1545177600000,2234.2018858817,1378.5206083869,3089.8831633765
1545264000000,2234.5639601014,1378.8826826066,3090.2452375962
1545350400000,2234.2946724025,1378.6133949077,3089.9759498973
1545436800000,2234.521735019,1378.8404575242,3090.2030125138
1545523200000,2234.3428781359,1378.6616006411,3090.0241556307
