Date,Forecast,Lower_CI,Upper_CI
1544313600000,1968.1140133386,1417.4327359297,2518.7952907476
1544400000000,2002.176880746,1451.4956033371,2552.8581581549
1544486400000,2028.1700734793,1477.4887960704,2578.8513508883
1544572800000,2046.861359883,1496.180082474,2597.5426372919
1544659200000,2062.7131015722,1512.0318241633,2613.3943789811
1544745600000,2076.4811355378,1525.7998581289,2627.1624129467
1544832000000,2088.6191004329,1537.937823024,2639.3003778418
1544918400000,2099.3579957944,1548.6767183855,2650.0392732033
1545004800000,2108.872061954,1558.190784545,2659.5533393629
1545091200000,2117.3043071075,1566.6230296985,2667.9855845164
1545177600000,2124.7787329052,1574.0974554963,2675.4600103142
1545264000000,2131.4044081479,1580.7231307389,2682.0856855568
1545350400000,2137.2777893945,1586.5965119856,2687.9590668034
1545436800000,2142.4843154188,1591.8030380098,2693.1655928277
1545523200000,2147.0997061334,1596.4184287245,2697.7809835423
