Date,Forecast,Lower_CI,Upper_CI
1544313600000,2048.7951914224,1434.7404724399,2662.8499104049
1544400000000,2115.6117481501,1501.5570291676,2729.6664671326
1544486400000,2160.96136356,1546.9066445775,2775.0160825425
1544572800000,2185.8830915045,1571.828372522,2799.937810487
1544659200000,2196.827242551,1582.7725235685,2810.8819615335
1544745600000,2205.6260504337,1591.5713314512,2819.6807694162
1544832000000,2207.592249279,1593.5375302965,2821.6469682615
1544918400000,2211.2722288261,1597.2175098436,2825.3269478086
1545004800000,2210.834209078,1596.7794900955,2824.8889280605
1545091200000,2212.8463665152,1598.7916475327,2826.9010854977
1545177600000,2211.853288927,1597.7985699445,2825.9080079094
1545264000000,2213.2422238821,1599.1875048996,2827.2969428646
1545350400000,2212.2112981547,1598.1565791722,2826.2660171372
1545436800000,2213.302737073,1599.2480180906,2827.3574560555
1545523200000,2212.3672366359,1598.3125176535,2826.4219556184
