Date,Forecast,Lower_CI,Upper_CI
1544313600000,2129.2534930382,1240.6377764711,3017.8692096053
1544400000000,2173.6723602285,1285.0566436615,3062.2880767956
1544486400000,2204.8600882571,1316.24437169,3093.4758048242
1544572800000,2211.4144601356,1322.7987435685,3100.0301767027
1544659200000,2216.4993520219,1327.8836354548,3105.1150685889
1544745600000,2216.1379755579,1327.5222589908,3104.753692125
1544832000000,2218.0993648068,1329.4836482397,3106.7150813739
1544918400000,2216.773787017,1328.1580704499,3105.389503584
1545004800000,2218.2956345262,1329.6799179591,3106.9113510933
1545091200000,2216.8776833434,1328.2619667763,3105.4933999105
1545177600000,2218.3024953862,1329.6867788192,3106.9182119533
1545264000000,2216.9106432672,1328.2949267001,3105.5263598343
1545350400000,2218.2845810145,1329.6688644474,3106.9002975816
1545436800000,2216.9335765984,1328.3178600313,3105.5492931655
1545523200000,2218.2639431189,1329.6482265518,3106.879659686
