ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,1.7634774,-2.057584848,4.9351343654,1.7634774,1.7634774,-0.1524488085,-0.1524488085,-0.1524488085,0.1224020751,0.1224020751,0.1224020751,-0.2748508836,-0.2748508836,-0.2748508836,0.0,0.0,0.0,1.6110285915
1434931200000,1.7676584241,-1.9309344304,5.2806219751,1.7676584241,1.7676584241,-0.1726728208,-0.1726728208,-0.1726728208,0.0699886184,0.0699886184,0.0699886184,-0.2426614392,-0.2426614392,-0.2426614392,0.0,0.0,0.0,1.5949856033
1435017600000,1.7697489362,-1.9900995771,4.9945926208,1.7697489362,1.7697489362,-0.1242871927,-0.1242871927,-0.1242871927,0.098232564,0.098232564,0.098232564,-0.2225197567,-0.2225197567,-0.2225197567,0.0,0.0,0.0,1.6454617435
1435104000000,1.7718394482,-1.8398132773,5.2124646815,1.7718394482,1.7718394482,-0.107772353,-0.107772353,-0.107772353,0.092248231,0.092248231,0.092248231,-0.2000205839,-0.2000205839,-0.2000205839,0.0,0.0,0.0,1.6640670953
1435190400000,1.7739299603,-1.8895629363,5.2386881253,1.7739299603,1.7739299603,-0.1167185482,-0.1167185482,-0.1167185482,0.05875104,0.05875104,0.05875104,-0.1754695882,-0.1754695882,-0.1754695882,0.0,0.0,0.0,1.6572114121
1435276800000,1.7760204723,-1.9613398051,5.1524742505,1.7760204723,1.7760204723,-0.1743223721,-0.1743223721,-0.1743223721,-0.0251165803,-0.0251165803,-0.0251165803,-0.1492057918,-0.1492057918,-0.1492057918,0.0,0.0,0.0,1.6016981002
1435363200000,1.7781109844,-1.751360892,5.4698179477,1.7781109844,1.7781109844,0.0008070796,0.0008070796,0.0008070796,0.1224020751,0.1224020751,0.1224020751,-0.1215949956,-0.1215949956,-0.1215949956,0.0,0.0,0.0,1.778918064
1435449600000,1.7802014965,-2.4346053919,4.8094332139,1.7802014965,1.7802014965,-0.5095285731,-0.5095285731,-0.5095285731,-0.4165059482,-0.4165059482,-0.4165059482,-0.0930226249,-0.0930226249,-0.0930226249,0.0,0.0,0.0,1.2706729233
1435622400000,1.7843825206,-1.8273998167,5.4973778033,1.7843825206,1.7843825206,0.0636454087,0.0636454087,0.0636454087,0.098232564,0.098232564,0.098232564,-0.0345871554,-0.0345871554,-0.0345871554,0.0,0.0,0.0,1.8480279292
1435708800000,1.7864730326,-1.6911437984,5.3771632074,1.7864730326,1.7864730326,0.0867247984,0.0867247984,0.0867247984,0.092248231,0.092248231,0.092248231,-0.0055234326,-0.0055234326,-0.0055234326,0.0,0.0,0.0,1.873197831
1435795200000,1.7885635447,-1.6288150709,5.5550607706,1.7885635447,1.7885635447,0.0816701413,0.0816701413,0.0816701413,0.05875104,0.05875104,0.05875104,0.0229191013,0.0229191013,0.0229191013,0.0,0.0,0.0,1.870233686
1435968000000,1.7927445688,-1.3493283224,5.3202650337,1.7927445688,1.7927445688,0.1989044863,0.1989044863,0.1989044863,0.1224020751,0.1224020751,0.1224020751,0.0765024111,0.0765024111,0.0765024111,0.0,0.0,0.0,1.9916490551
1436140800000,1.7969255929,-1.8863865837,5.5516411414,1.7969255929,1.7969255929,0.1935863117,0.1935863117,0.1935863117,0.0699886184,0.0699886184,0.0699886184,0.1235976933,0.1235976933,0.1235976933,0.0,0.0,0.0,1.9905119046
1436227200000,1.799016105,-1.5178324122,5.5959884162,1.799016105,1.799016105,0.2423127794,0.2423127794,0.2423127794,0.098232564,0.098232564,0.098232564,0.1440802153,0.1440802153,0.1440802153,0.0,0.0,0.0,2.0413288843
1436400000000,1.8031971291,-1.4910506004,5.5456613354,1.8031971291,1.8031971291,0.2368236569,0.2368236569,0.2368236569,0.05875104,0.05875104,0.05875104,0.1780726169,0.1780726169,0.1780726169,0.0,0.0,0.0,2.040020786
