ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,1003.075122,419.3911408163,1684.8502820756,1003.075122,1003.075122,82.9096040968,82.9096040968,82.9096040968,-33.3600600975,-33.3600600975,-33.3600600975,116.2696641943,116.2696641943,116.2696641943,0.0,0.0,0.0,1085.9847260968
1434931200000,1004.1491639561,428.0544780531,1704.0332505556,1004.1491639561,1004.1491639561,68.7760244586,68.7760244586,68.7760244586,-64.0725756136,-64.0725756136,-64.0725756136,132.8486000721,132.8486000721,132.8486000721,0.0,0.0,0.0,1072.9251884147
1435017600000,1004.6861849341,572.634519717,1839.5558032194,1004.6861849341,1004.6861849341,196.820262539,196.820262539,196.820262539,57.5499768124,57.5499768124,57.5499768124,139.2702857266,139.2702857266,139.2702857266,0.0,0.0,0.0,1201.5064474731
1435104000000,1005.2232059122,484.0626470605,1834.782652401,1005.2232059122,1005.2232059122,137.5906273744,137.5906273744,137.5906273744,-6.6476338134,-6.6476338134,-6.6476338134,144.2382611878,144.2382611878,144.2382611878,0.0,0.0,0.0,1142.8138332866
1435190400000,1005.7602268902,552.0704087483,1776.3214711108,1005.7602268902,1005.7602268902,158.9406396225,158.9406396225,158.9406396225,11.3132490799,11.3132490799,11.3132490799,147.6273905426,147.6273905426,147.6273905426,0.0,0.0,0.0,1164.7008665127
1435276800000,1006.2972478682,528.0906104455,1796.2329475257,1006.2972478682,1006.2972478682,150.0699054027,150.0699054027,150.0699054027,0.7261653587,0.7261653587,0.7261653587,149.343740044,149.343740044,149.343740044,0.0,0.0,0.0,1156.3671532709
1435363200000,1006.8342688463,518.4879838236,1776.6469645477,1006.8342688463,1006.8342688463,115.9688896946,115.9688896946,115.9688896946,-33.3600600973,-33.3600600973,-33.3600600973,149.328949792,149.328949792,149.328949792,0.0,0.0,0.0,1122.8031585409
1435449600000,1007.3712898243,611.814363361,1798.4418075199,1007.3712898243,1007.3712898243,182.0546189793,182.0546189793,182.0546189793,34.4908782732,34.4908782732,34.4908782732,147.5637407061,147.5637407061,147.5637407061,0.0,0.0,0.0,1189.4259088036
1435622400000,1008.4453317804,555.7138941139,1875.321344531,1008.4453317804,1008.4453317804,196.4642422035,196.4642422035,196.4642422035,57.5499768124,57.5499768124,57.5499768124,138.9142653911,138.9142653911,138.9142653911,0.0,0.0,0.0,1204.9095739838
1435708800000,1008.9823527584,521.8022876745,1820.2230304968,1008.9823527584,1008.9823527584,125.5560979592,125.5560979592,125.5560979592,-6.6476338133,-6.6476338133,-6.6476338133,132.2037317725,132.2037317725,132.2037317725,0.0,0.0,0.0,1134.5384507176
1435795200000,1009.5193737365,550.9466003162,1769.0356712546,1009.5193737365,1009.5193737365,135.4026406583,135.4026406583,135.4026406583,11.3132490802,11.3132490802,11.3132490802,124.0893915781,124.0893915781,124.0893915781,0.0,0.0,0.0,1144.9220143948
1435968000000,1010.5934156925,389.9735991814,1709.1558267823,1010.5934156925,1010.5934156925,71.0870947239,71.0870947239,71.0870947239,-33.3600600977,-33.3600600977,-33.3600600977,104.4471548216,104.4471548216,104.4471548216,0.0,0.0,0.0,1081.6805104165
1436140800000,1011.6674576486,388.4226520819,1630.8586723513,1011.6674576486,1011.6674576486,17.8443365257,17.8443365257,17.8443365257,-64.0725756136,-64.0725756136,-64.0725756136,81.9169121393,81.9169121393,81.9169121393,0.0,0.0,0.0,1029.5117941744
1436227200000,1012.2044786266,467.2827980621,1792.211329831,1012.2044786266,1012.2044786266,127.8384458316,127.8384458316,127.8384458316,57.5499768124,57.5499768124,57.5499768124,70.2884690193,70.2884690193,70.2884690193,0.0,0.0,0.0,1140.0429244583
1436400000000,1013.2785205827,483.010645237,1699.6574120149,1013.2785205827,1013.2785205827,59.1844544267,59.1844544267,59.1844544267,11.3132490802,11.3132490802,11.3132490802,47.8712053466,47.8712053466,47.8712053466,0.0,0.0,0.0,1072.4629750095
