ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1435104000000,1791.084677,790.6607693817,2323.7422537309,1791.084677,1791.084677,-220.7839750783,-220.7839750783,-220.7839750783,-57.3237687334,-57.3237687334,-57.3237687334,-163.4602063449,-163.4602063449,-163.4602063449,0.0,0.0,0.0,1570.3007019217
1435622400000,1794.2148293038,912.4533375667,2459.4397642946,1794.2148293038,1794.2148293038,-102.4590437703,-102.4590437703,-102.4590437703,17.2107678984,17.2107678984,17.2107678984,-119.6698116687,-119.6698116687,-119.6698116687,0.0,0.0,0.0,1691.7557855334
1435795200000,1795.2582134051,915.4719244345,2447.9067934944,1795.2582134051,1795.2582134051,-106.7420286527,-106.7420286527,-106.7420286527,-22.4738121099,-22.4738121099,-22.4738121099,-84.2682165427,-84.2682165427,-84.2682165427,0.0,0.0,0.0,1688.5161847524
1436227200000,1797.8666736582,1087.9786470771,2630.337962804,1797.8666736582,1797.8666736582,46.2869652177,46.2869652177,46.2869652177,17.2107678984,17.2107678984,17.2107678984,29.0761973194,29.0761973194,29.0761973194,0.0,0.0,0.0,1844.153638876
1436400000000,1798.9100577595,1088.2886320842,2650.5753676606,1798.9100577595,1798.9100577595,53.057135677,53.057135677,53.057135677,-22.47381211,-22.47381211,-22.47381211,75.530947787,75.530947787,75.530947787,0.0,0.0,0.0,1851.9671934365
1436486400000,1799.4317498101,1124.8906776698,2624.8703448059,1799.4317498101,1799.4317498101,88.9893072749,88.9893072749,88.9893072749,-8.2628509517,-8.2628509517,-8.2628509517,97.2521582266,97.2521582266,97.2521582266,0.0,0.0,0.0,1888.4210570851
1436745600000,1800.996825962,1145.998955904,2692.33968871,1800.996825962,1800.996825962,150.0365749897,150.0365749897,150.0365749897,-1.8611071295,-1.8611071295,-1.8611071295,151.8976821192,151.8976821192,151.8976821192,0.0,0.0,0.0,1951.0334009518
1436832000000,1801.5185180127,1203.8479650866,2784.7086683657,1801.5185180127,1801.5185180127,182.8387931072,182.8387931072,182.8387931072,17.2107678984,17.2107678984,17.2107678984,165.6280252088,165.6280252088,165.6280252088,0.0,0.0,0.0,1984.3573111198
1436918400000,1802.0402100633,1112.9713877775,2670.5441872046,1802.0402100633,1802.0402100633,119.4476063607,119.4476063607,119.4476063607,-57.3237687334,-57.3237687334,-57.3237687334,176.7713750941,176.7713750941,176.7713750941,0.0,0.0,0.0,1921.487816424
1437004800000,1802.5619021139,1172.1418933631,2735.1569794894,1802.5619021139,1802.5619021139,162.7444696675,162.7444696675,162.7444696675,-22.47381211,-22.47381211,-22.47381211,185.2182817775,185.2182817775,185.2182817775,0.0,0.0,0.0,1965.3063717814
1437609600000,1806.2137464684,1149.6644120179,2751.0509334525,1806.2137464684,1806.2137464684,151.1941095896,151.1941095896,151.1941095896,-22.47381211,-22.47381211,-22.47381211,173.6679216996,173.6679216996,173.6679216996,0.0,0.0,0.0,1957.4078560579
1437696000000,1806.735438519,1234.6947917006,2706.5251709842,1806.735438519,1806.735438519,156.1212606127,156.1212606127,156.1212606127,-8.2628509516,-8.2628509516,-8.2628509516,164.3841115643,164.3841115643,164.3841115643,0.0,0.0,0.0,1962.8566991317
1437782400000,1807.2571305696,1213.9240180506,2804.1471456229,1807.2571305696,1807.2571305696,189.5292875805,189.5292875805,189.5292875805,35.386147249,35.386147249,35.386147249,154.1431403315,154.1431403315,154.1431403315,0.0,0.0,0.0,1996.7864181501
1437955200000,1808.3005146709,1175.8689659595,2726.1096587439,1808.3005146709,1808.3005146709,130.4504101339,130.4504101339,130.4504101339,-1.8611071297,-1.8611071297,-1.8611071297,132.3115172636,132.3115172636,132.3115172636,0.0,0.0,0.0,1938.7509248048
1438041600000,1808.8222067215,1207.0605790678,2734.7942048834,1808.8222067215,1808.8222067215,138.6877336123,138.6877336123,138.6877336123,17.2107678983,17.2107678983,17.2107678983,121.476965714,121.476965714,121.476965714,0.0,0.0,0.0,1947.5099403339
1438128000000,1809.3438987722,1095.0640085157,2664.715608119,1809.3438987722,1809.3438987722,53.8526913709,53.8526913709,53.8526913709,-57.3237687335,-57.3237687335,-57.3237687335,111.1764601044,111.1764601044,111.1764601044,0.0,0.0,0.0,1863.1965901431
1438214400000,1809.8655908228,1173.0360497462,2708.4151243805,1809.8655908228,1809.8655908228,79.2631617661,79.2631617661,79.2631617661,-22.4738121099,-22.4738121099,-22.4738121099,101.736973876,101.736973876,101.736973876,0.0,0.0,0.0,1889.1287525889
1438300800000,1810.3872828734,1116.4625717637,2695.9327901233,1810.3872828734,1810.3872828734,85.1856609159,85.1856609159,85.1856609159,-8.2628509518,-8.2628509518,-8.2628509518,93.4485118677,93.4485118677,93.4485118677,0.0,0.0,0.0,1895.5729437894
