Date,Forecast,Lower_CI,Upper_CI
1544313600000,1832.8163477492,1173.8060131855,2491.826682313
1544400000000,1832.7271849153,1173.7168503515,2491.737519479
1544486400000,1832.6832182764,1173.6728837127,2491.6935528402
1544572800000,1832.6367177166,1173.6263831528,2491.6470522803
1544659200000,1832.6143930391,1173.6040584753,2491.6247276028
1544745600000,1832.6035312995,1173.5931967357,2491.6138658632
1544832000000,1832.5976731164,1173.5873385526,2491.6080076801
1544918400000,1832.5945820823,1173.5842475186,2491.6049166461
1545004800000,1832.5929715451,1173.5826369814,2491.6033061089
1545091200000,1832.5921276671,1173.5817931033,2491.6024622308
1545177600000,1832.5916850473,1173.5813504835,2491.602019611
1545264000000,1832.5914531399,1173.5811185761,2491.6017877036
1545350400000,1832.5913316304,1173.5809970666,2491.6016661941
1545436800000,1832.591267954,1173.5809333902,2491.6016025177
1545523200000,1832.5912345859,1173.5809000221,2491.6015691496
