Date,Forecast,Lower_CI,Upper_CI
1544313600000,2098.7760749433,986.6029371023,3210.9492127842
1544400000000,2155.6254210893,1043.4522832484,3267.7985589303
1544486400000,2196.9653745493,1084.7922367084,3309.1385123903
1544572800000,2219.9809926308,1107.8078547899,3332.1541304718
1544659200000,2223.6424068527,1111.4692690118,3335.8155446937
1544745600000,2233.7528947075,1121.5797568665,3345.9260325484
1544832000000,2230.5323604491,1118.3592226082,3342.7054982901
1544918400000,2236.5901448519,1124.4170070109,3348.7632826928
1545004800000,2232.4599403266,1120.2868024856,3344.6330781675
1545091200000,2236.9868484085,1124.8137105676,3349.1599862495
1545177600000,2233.1559038221,1120.9827659811,3345.329041663
1545264000000,2236.8569682999,1124.683830459,3349.0301061408
1545350400000,2233.5245159983,1121.3513781573,3345.6976538392
1545436800000,2236.6373373752,1124.4641995343,3348.8104752162
