Date,Forecast,Lower_CI,Upper_CI
1544313600000,1944.1588317085,1318.0025729281,2570.3150904888
1544400000000,1984.7131156165,1358.5568568362,2610.8693743969
1544486400000,2008.6182780692,1382.4620192889,2634.7745368495
1544572800000,2024.3688007978,1398.2125420175,2650.5250595781
1544659200000,2036.5362735352,1410.3800147549,2662.6925323155
1544745600000,2046.8242530174,1420.6679942371,2672.9805117977
1544832000000,2055.9463249965,1429.7900662162,2682.1025837768
1544918400000,2064.2137025686,1438.0574437882,2690.3699613489
1545004800000,2071.7792212751,1445.6229624948,2697.9354800554
1545091200000,2078.7313326728,1452.5750738925,2704.8875914531
1545177600000,2085.131120024,1458.9748612437,2711.2873788043
1545264000000,2091.0269062529,1464.8706474726,2717.1831650332
1545350400000,2096.4601188434,1470.3038600631,2722.6163776237
1545436800000,2101.4677284172,1475.3114696369,2727.6239871975
1545523200000,2106.0833385866,1479.9270798063,2732.239597367
