Date,Forecast,Lower_CI,Upper_CI
1552780800000,1001.8964733011,-486.6166565255,2490.4096031277
1552867200000,1099.1373332942,-389.3757965325,2587.6504631208
1552953600000,1164.0550320323,-324.4580977943,2652.5681618589
1553040000000,1213.7689652711,-274.7441645556,2702.2820950977
1553126400000,1253.9010148072,-234.6121150194,2742.4141446339
1553212800000,1286.6281780445,-201.8849517821,2775.1413078712
1553299200000,1313.3771545569,-175.1359752698,2801.8902843835
1553385600000,1335.2501687374,-153.2629610892,2823.763298564
1553472000000,1353.1378037566,-135.37532607,2841.6509335833
1553558400000,1367.7665187588,-120.7466110679,2856.2796485854
1553644800000,1379.7301030964,-108.7830267302,2868.2432329231
1553731200000,1389.5141121701,-98.9990176565,2878.0272419968
1553817600000,1397.5156315403,-90.9974982864,2886.0287613669
1553904000000,1404.0594025354,-84.4537272912,2892.572532362
1553990400000,1409.4110035521,-79.1021262745,2897.9241333788
