Date,Forecast,Lower_CI,Upper_CI
1544400000000,0.1676135597,-2.1528250753,2.4880521946
1544486400000,0.063595526,-2.2568996465,2.3840906986
1544572800000,0.0681835463,-2.2526176132,2.3889847059
1544659200000,0.1216291055,-2.1992568534,2.4425150644
1544745600000,0.0299692156,-2.2909531055,2.3508915368
1544832000000,0.147163957,-2.173834227,2.468162141
1544918400000,0.1316577455,-2.1893808174,2.4526963085
1545004800000,0.0385612432,-2.2825466014,2.3596690877
1545091200000,0.1806557314,-2.1404966855,2.5018081483
1545177600000,0.1426009131,-2.1786163536,2.4638181799
1545264000000,0.0741565567,-2.2471083491,2.3954214626
1545350400000,0.1677358273,-2.1535909183,2.4890625729
1545436800000,0.0895176617,-2.2321295259,2.4111648493
1545523200000,0.0676311953,-2.2540731002,2.3893354909
1545609600000,0.0680603935,-2.2536896567,2.3898104438
