ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1435017600000,713.196934,336.2504453549,904.2474827412,713.196934,713.196934,-92.3532704067,-92.3532704067,-92.3532704067,-3.0772934245,-3.0772934245,-3.0772934245,-89.2759769821,-89.2759769821,-89.2759769821,0.0,0.0,0.0,620.8436635933
1435276800000,713.5352561651,336.1468804253,922.2976322281,713.5352561651,713.5352561651,-86.3361280839,-86.3361280839,-86.3361280839,2.4194538786,2.4194538786,2.4194538786,-88.7555819625,-88.7555819625,-88.7555819625,0.0,0.0,0.0,627.1991280811
1435363200000,713.6480302201,354.0139009869,965.33815856,713.6480302201,713.6480302201,-62.8379788408,-62.8379788408,-62.8379788408,23.2675384823,23.2675384823,23.2675384823,-86.1055173231,-86.1055173231,-86.1055173231,0.0,0.0,0.0,650.8100513793
1435449600000,713.7608042751,270.8059953767,876.7169916138,713.7608042751,713.7608042751,-133.9790176573,-133.9790176573,-133.9790176573,-51.7009306063,-51.7009306063,-51.7009306063,-82.278087051,-82.278087051,-82.278087051,0.0,0.0,0.0,579.7817866178
1435622400000,713.9863523852,347.3234837759,925.3259510921,713.9863523852,713.9863523852,-74.4723053109,-74.4723053109,-74.4723053109,-3.0772934245,-3.0772934245,-3.0772934245,-71.3950118864,-71.3950118864,-71.3950118864,0.0,0.0,0.0,639.5140470743
1435708800000,714.0991264402,386.4823781032,989.1802526338,714.0991264402,714.0991264402,-40.9091896217,-40.9091896217,-40.9091896217,23.6354499091,23.6354499091,23.6354499091,-64.5446395309,-64.5446395309,-64.5446395309,0.0,0.0,0.0,673.1899368185
1435795200000,714.2119004952,360.1771764919,917.0497303309,714.2119004952,714.2119004952,-57.0357121971,-57.0357121971,-57.0357121971,-0.1111069561,-0.1111069561,-0.1111069561,-56.924605241,-56.924605241,-56.924605241,0.0,0.0,0.0,657.1761882981
1435968000000,714.4374486053,385.8956958699,988.6739951576,714.4374486053,714.4374486053,-16.7176121592,-16.7176121592,-16.7176121592,23.2675384825,23.2675384825,23.2675384825,-39.9851506417,-39.9851506417,-39.9851506417,0.0,0.0,0.0,697.7198364461
1436140800000,714.6629967153,403.7606525399,981.4349371786,714.6629967153,714.6629967153,-16.3554049866,-16.3554049866,-16.3554049866,5.5668887169,5.5668887169,5.5668887169,-21.9222937035,-21.9222937035,-21.9222937035,0.0,0.0,0.0,698.3075917287
1436400000000,715.0013188804,427.8852021823,1021.635911786,715.0013188804,715.0013188804,3.9281362309,3.9281362309,3.9281362309,-0.1111069561,-0.1111069561,-0.1111069561,4.039243187,4.039243187,4.039243187,0.0,0.0,0.0,718.9294551113
1436745600000,715.4524151005,455.4115661365,1055.823791392,715.4524151005,715.4524151005,34.5495149747,34.5495149747,34.5495149747,5.5668887169,5.5668887169,5.5668887169,28.9826262578,28.9826262578,28.9826262578,0.0,0.0,0.0,750.0019300752
1437609600000,716.5801556508,438.1001796636,993.4126853404,716.5801556508,716.5801556508,2.1638600191,2.1638600191,2.1638600191,-0.111106956,-0.111106956,-0.111106956,2.2749669751,2.2749669751,2.2749669751,0.0,0.0,0.0,718.7440156699
1437782400000,716.8057037608,434.5204451602,1009.5936797886,716.8057037608,716.8057037608,6.1214759484,6.1214759484,6.1214759484,23.2675384824,23.2675384824,23.2675384824,-17.146062534,-17.146062534,-17.146062534,0.0,0.0,0.0,722.9271797092
