ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1436400000000,37.682172,17.1531582787,56.8192340765,37.682172,37.682172,-0.3124392604,-0.3124392604,-0.3124392604,-0.06171957,-0.06171957,-0.06171957,-0.2507196904,-0.2507196904,-0.2507196904,0.0,0.0,0.0,37.3697327396
1438041600000,37.7971584788,11.2190095018,53.9875404451,37.7971584788,37.7971584788,-4.7007340767,-4.7007340767,-4.7007340767,-0.2431902218,-0.2431902218,-0.2431902218,-4.4575438549,-4.4575438549,-4.4575438549,0.0,0.0,0.0,33.0964244021
1438387200000,37.8213661585,12.0090622974,54.847611175,37.8213661585,37.8213661585,-4.5346060956,-4.5346060956,-4.5346060956,-0.0188851758,-0.0188851758,-0.0188851758,-4.5157209198,-4.5157209198,-4.5157209198,0.0,0.0,0.0,33.2867600629
1439942400000,37.9303007174,16.6642152665,59.3694122876,37.9303007174,37.9303007174,-0.424182606,-0.424182606,-0.424182606,0.8980701051,0.8980701051,0.8980701051,-1.322252711,-1.322252711,-1.322252711,0.0,0.0,0.0,37.5061181114
1440115200000,37.9424045572,15.813515964,57.9990950706,37.9424045572,37.9424045572,-0.3691875858,-0.3691875858,-0.3691875858,0.7279034273,0.7279034273,0.7279034273,-1.0970910131,-1.0970910131,-1.0970910131,0.0,0.0,0.0,37.5732169715
1440720000000,37.9847679968,17.0160789401,59.3351662143,37.9847679968,37.9847679968,-0.390883683,-0.390883683,-0.390883683,0.7279034273,0.7279034273,0.7279034273,-1.1187871103,-1.1187871103,-1.1187871103,0.0,0.0,0.0,37.5938843138
1441065600000,38.0089756765,13.9138994089,57.4398477525,38.0089756765,38.0089756765,-1.8204370282,-1.8204370282,-1.8204370282,-0.2431902218,-0.2431902218,-0.2431902218,-1.5772468063,-1.5772468063,-1.5772468063,0.0,0.0,0.0,36.1885386484
1441152000000,38.0150275965,17.0363307372,58.6135956016,38.0150275965,38.0150275965,-0.8174112868,-0.8174112868,-0.8174112868,0.8980701051,0.8980701051,0.8980701051,-1.7154813919,-1.7154813919,-1.7154813919,0.0,0.0,0.0,37.1976163097
1443052800000,38.1481698351,13.045273649,56.274978714,38.1481698351,38.1481698351,-2.4224961695,-2.4224961695,-2.4224961695,-0.06171957,-0.06171957,-0.06171957,-2.3607765995,-2.3607765995,-2.3607765995,0.0,0.0,0.0,35.7256736656
1443484800000,38.1784294347,14.6480773571,56.1482621218,38.1784294347,38.1784294347,-2.6057271489,-2.6057271489,-2.6057271489,-0.2431902218,-0.2431902218,-0.2431902218,-2.3625369271,-2.3625369271,-2.3625369271,0.0,0.0,0.0,35.5727022858
1443744000000,38.1965851946,16.5125953172,56.9310079663,38.1965851946,38.1965851946,-1.8514294669,-1.8514294669,-1.8514294669,0.7279034273,0.7279034273,0.7279034273,-2.5793328942,-2.5793328942,-2.5793328942,0.0,0.0,0.0,36.3451557277
1443830400000,38.2026371145,15.7262411554,57.1433474104,38.2026371145,38.2026371145,-2.7070111421,-2.7070111421,-2.7070111421,-0.0188851758,-0.0188851758,-0.0188851758,-2.6881259664,-2.6881259664,-2.6881259664,0.0,0.0,0.0,35.4956259724
1444003200000,38.2147409544,14.7762636243,55.2032026402,38.2147409544,38.2147409544,-3.0145657463,-3.0145657463,-3.0145657463,-0.0625458452,-0.0625458452,-0.0625458452,-2.9520199011,-2.9520199011,-2.9520199011,0.0,0.0,0.0,35.2001752081
1444089600000,38.2207928743,13.7361128726,54.8193390507,38.2207928743,38.2207928743,-3.3457003745,-3.3457003745,-3.3457003745,-0.2431902218,-0.2431902218,-0.2431902218,-3.1025101526,-3.1025101526,-3.1025101526,0.0,0.0,0.0,34.8750924998
1444176000000,38.2268447942,15.8807089259,56.7182669275,38.2268447942,38.2268447942,-2.3634940855,-2.3634940855,-2.3634940855,0.8980701051,0.8980701051,0.8980701051,-3.2615641905,-3.2615641905,-3.2615641905,0.0,0.0,0.0,35.8633507087
1444262400000,38.2328967142,12.97687827,54.8910930784,38.2328967142,38.2328967142,-3.4876063268,-3.4876063268,-3.4876063268,-0.06171957,-0.06171957,-0.06171957,-3.4258867568,-3.4258867568,-3.4258867568,0.0,0.0,0.0,34.7452903874
1444435200000,38.245000554,12.3918490173,55.8645232432,38.245000554,38.245000554,-3.7747982057,-3.7747982057,-3.7747982057,-0.0188851758,-0.0188851758,-0.0188851758,-3.7559130299,-3.7559130299,-3.7559130299,0.0,0.0,0.0,34.4702023484
1444608000000,38.2571043939,12.1214321928,54.7440808685,38.2571043939,38.2571043939,-4.1250258444,-4.1250258444,-4.1250258444,-0.0625458452,-0.0625458452,-0.0625458452,-4.0624799992,-4.0624799992,-4.0624799992,0.0,0.0,0.0,34.1320785496
1444780800000,38.2692082338,14.706640081,55.8149655394,38.2692082338,38.2692082338,-3.4174643574,-3.4174643574,-3.4174643574,0.898070105,0.898070105,0.898070105,-4.3155344625,-4.3155344625,-4.3155344625,0.0,0.0,0.0,34.8517438764
1444953600000,38.2813120737,14.8623243065,55.1294143157,38.2813120737,38.2813120737,-3.7601138563,-3.7601138563,-3.7601138563,0.7279034273,0.7279034273,0.7279034273,-4.4880172836,-4.4880172836,-4.4880172836,0.0,0.0,0.0,34.5211982174
1445040000000,38.2873639936,13.7869793217,55.2922468792,38.2873639936,38.2873639936,-4.555961001,-4.555961001,-4.555961001,-0.0188851758,-0.0188851758,-0.0188851758,-4.5370758252,-4.5370758252,-4.5370758252,0.0,0.0,0.0,33.7314029926
1445299200000,38.3055197534,12.4411416114,56.0904000202,38.3055197534,38.3055197534,-4.7567295799,-4.7567295799,-4.7567295799,-0.2431902218,-0.2431902218,-0.2431902218,-4.5135393581,-4.5135393581,-4.5135393581,0.0,0.0,0.0,33.5487901735
1445385600000,38.3115716733,12.870660944,54.7938871373,38.3115716733,38.3115716733,-3.5479091433,-3.5479091433,-3.5479091433,0.8980701051,0.8980701051,0.8980701051,-4.4459792483,-4.4459792483,-4.4459792483,0.0,0.0,0.0,34.7636625301
1445472000000,38.3176235933,13.287750872,54.7399544884,38.3176235933,38.3176235933,-4.4103928556,-4.4103928556,-4.4103928556,-0.06171957,-0.06171957,-0.06171957,-4.3486732856,-4.3486732856,-4.3486732856,0.0,0.0,0.0,33.9072307377
1445817600000,38.341831273,12.7222962182,56.1460388985,38.341831273,38.341831273,-3.7529340133,-3.7529340133,-3.7529340133,-0.0625458452,-0.0625458452,-0.0625458452,-3.6903881682,-3.6903881682,-3.6903881682,0.0,0.0,0.0,34.5888972597
1445904000000,38.347883193,13.0196035443,56.0069039176,38.347883193,38.347883193,-3.7136021966,-3.7136021966,-3.7136021966,-0.2431902218,-0.2431902218,-0.2431902218,-3.4704119748,-3.4704119748,-3.4704119748,0.0,0.0,0.0,34.6342809963
1446422400000,38.3841947126,15.1160854285,57.2254268887,38.3841947126,38.3841947126,-2.0199768158,-2.0199768158,-2.0199768158,-0.0625458452,-0.0625458452,-0.0625458452,-1.9574309706,-1.9574309706,-1.9574309706,0.0,0.0,0.0,36.3642178968
1446508800000,38.3902466325,15.8851381365,58.0698338561,38.3902466325,38.3902466325,-1.9544185699,-1.9544185699,-1.9544185699,-0.2431902218,-0.2431902218,-0.2431902218,-1.711228348,-1.711228348,-1.711228348,0.0,0.0,0.0,36.4358280626
1446595200000,38.3962985524,18.3916022145,58.6873379896,38.3962985524,38.3962985524,-0.5793026855,-0.5793026855,-0.5793026855,0.8980701051,0.8980701051,0.8980701051,-1.4773727906,-1.4773727906,-1.4773727906,0.0,0.0,0.0,37.8169958669
1446681600000,38.4023504724,15.8493887193,58.2630525831,38.4023504724,38.4023504724,-1.3210978719,-1.3210978719,-1.3210978719,-0.06171957,-0.06171957,-0.06171957,-1.2593783019,-1.2593783019,-1.2593783019,0.0,0.0,0.0,37.0812526005
1446768000000,38.4084023923,17.9209845787,59.053889788,38.4084023923,38.4084023923,-0.332493437,-0.332493437,-0.332493437,0.7279034273,0.7279034273,0.7279034273,-1.0603968643,-1.0603968643,-1.0603968643,0.0,0.0,0.0,38.0759089553
1446854400000,38.4144543122,15.9545680581,57.8491452795,38.4144543122,38.4144543122,-0.9020442703,-0.9020442703,-0.9020442703,-0.0188851758,-0.0188851758,-0.0188851758,-0.8831590946,-0.8831590946,-0.8831590946,0.0,0.0,0.0,37.5124100419
1447027200000,38.4265581521,17.3038617174,58.9024449203,38.4265581521,38.4265581521,-0.664997473,-0.664997473,-0.664997473,-0.0625458452,-0.0625458452,-0.0625458452,-0.6024516278,-0.6024516278,-0.6024516278,0.0,0.0,0.0,37.7615606791
