ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1435190400000,1223.963114,-191.1578650328,1807.7579318775,1223.963114,1223.963114,-431.3294968458,-431.3294968458,-431.3294968458,-63.2454550901,-63.2454550901,-63.2454550901,-368.0840417557,-368.0840417557,-368.0840417557,0.0,0.0,0.0,792.6336171542
1435276800000,1225.4324105254,-278.2426060978,1756.7480610883,1225.4324105254,1225.4324105254,-429.6832598874,-429.6832598874,-429.6832598874,-52.0428825368,-52.0428825368,-52.0428825368,-377.6403773506,-377.6403773506,-377.6403773506,0.0,0.0,0.0,795.749150638
1435363200000,1226.9017070508,-105.7627009519,1986.4564166245,1226.9017070508,1226.9017070508,-367.7440770826,-367.7440770826,-367.7440770826,15.3520513764,15.3520513764,15.3520513764,-383.096128459,-383.096128459,-383.096128459,0.0,0.0,0.0,859.1576299682
1435536000000,1229.8403001016,-177.9480382309,1875.7132514178,1229.8403001016,1229.8403001016,-386.2653509823,-386.2653509823,-386.2653509823,-5.2881330845,-5.2881330845,-5.2881330845,-380.9772178978,-380.9772178978,-380.9772178978,0.0,0.0,0.0,843.5749491193
1435622400000,1231.309596627,-151.6874887746,1822.1027679815,1231.309596627,1231.309596627,-397.5120336939,-397.5120336939,-397.5120336939,-24.2499807847,-24.2499807847,-24.2499807847,-373.2620529092,-373.2620529092,-373.2620529092,0.0,0.0,0.0,833.7975629331
1435708800000,1232.7788931524,-220.1347337544,1778.3985764162,1232.7788931524,1232.7788931524,-450.9909662601,-450.9909662601,-450.9909662601,-89.8254341016,-89.8254341016,-89.8254341016,-361.1655321585,-361.1655321585,-361.1655321585,0.0,0.0,0.0,781.7879268923
1435795200000,1234.2481896778,-263.3068749646,1882.9441260773,1234.2481896778,1234.2481896778,-408.0835274221,-408.0835274221,-408.0835274221,-63.2454550898,-63.2454550898,-63.2454550898,-344.8380723323,-344.8380723323,-344.8380723323,0.0,0.0,0.0,826.1646622557
1435968000000,1237.1867827286,-91.5406192793,2070.7281504034,1237.1867827286,1237.1867827286,-285.139477212,-285.139477212,-285.139477212,15.3520513758,15.3520513758,15.3520513758,-300.4915285878,-300.4915285878,-300.4915285878,0.0,0.0,0.0,952.0473055166
1436140800000,1240.1253757794,-35.8864512384,2038.5369164503,1240.1253757794,1240.1253757794,-248.2061376128,-248.2061376128,-248.2061376128,-5.2881330846,-5.2881330846,-5.2881330846,-242.9180045281,-242.9180045281,-242.9180045281,0.0,0.0,0.0,991.9192381666
1436400000000,1244.5332653556,35.8385632346,2143.8333646535,1244.5332653556,1244.5332653556,-203.0130238099,-203.0130238099,-203.0130238099,-63.2454550898,-63.2454550898,-63.2454550898,-139.7675687201,-139.7675687201,-139.7675687201,0.0,0.0,0.0,1041.5202415456
1436745600000,1250.4104514571,146.5319431601,2276.1585874869,1250.4104514571,1250.4104514571,1.7832985472,1.7832985472,1.7832985472,-5.2881330848,-5.2881330848,-5.2881330848,7.071431632,7.071431632,7.071431632,0.0,0.0,0.0,1252.1937500043
1437609600000,1265.1034167111,419.8391998356,2517.617092354,1265.1034167111,1265.1034167111,188.0396375924,188.0396375924,188.0396375924,-63.2454550901,-63.2454550901,-63.2454550901,251.2850926824,251.2850926824,251.2850926824,0.0,0.0,0.0,1453.1430543035
1437782400000,1268.0420097619,564.5672221541,2618.3540170911,1268.0420097619,1268.0420097619,282.1242304865,282.1242304865,282.1242304865,15.3520513762,15.3520513762,15.3520513762,266.7721791103,266.7721791103,266.7721791103,0.0,0.0,0.0,1550.1662402484
1437955200000,1270.9806028127,514.2630139712,2613.917516043,1270.9806028127,1270.9806028127,266.9353959652,266.9353959652,266.9353959652,-5.2881330842,-5.2881330842,-5.2881330842,272.2235290494,272.2235290494,272.2235290494,0.0,0.0,0.0,1537.9159987779
1438041600000,1272.4498993381,461.625254368,2565.3394826641,1272.4498993381,1272.4498993381,247.472913554,247.472913554,247.472913554,-24.2499807847,-24.2499807847,-24.2499807847,271.7228943387,271.7228943387,271.7228943387,0.0,0.0,0.0,1519.9228128921
1438300800000,1276.8577889143,511.8226345612,2486.0473804374,1276.8577889143,1276.8577889143,208.2551424137,208.2551424137,208.2551424137,-52.0428825369,-52.0428825369,-52.0428825369,260.2980249506,260.2980249506,260.2980249506,0.0,0.0,0.0,1485.112931328
1438387200000,1278.3270854397,514.5746412114,2542.7161684926,1278.3270854397,1278.3270854397,269.3804090412,269.3804090412,269.3804090412,15.3520513763,15.3520513763,15.3520513763,254.0283576649,254.0283576649,254.0283576649,0.0,0.0,0.0,1547.7074944809
1438732800000,1284.2042715413,446.6645685471,2393.8411840069,1284.2042715413,1284.2042715413,132.8981674952,132.8981674952,132.8981674952,-89.825434102,-89.825434102,-89.825434102,222.7236015972,222.7236015972,222.7236015972,0.0,0.0,0.0,1417.1024390365
1440547200000,1315.0594985746,219.093235844,2217.2444054429,1315.0594985746,1315.0594985746,-42.4577065465,-42.4577065465,-42.4577065465,-89.8254341016,-89.8254341016,-89.8254341016,47.3677275552,47.3677275552,47.3677275552,0.0,0.0,0.0,1272.6017920281
1440720000000,1317.9980916254,312.9451006787,2290.111349981,1317.9980916254,1317.9980916254,-22.4210918315,-22.4210918315,-22.4210918315,-52.0428825369,-52.0428825369,-52.0428825369,29.6217907054,29.6217907054,29.6217907054,0.0,0.0,0.0,1295.5769997939
1441065600000,1323.875277727,283.0671092503,2362.3410915982,1323.875277727,1323.875277727,-23.8320173028,-23.8320173028,-23.8320173028,-24.2499807845,-24.2499807845,-24.2499807845,0.4179634817,0.4179634817,0.4179634817,0.0,0.0,0.0,1300.0432604242
1441152000000,1325.3445742524,313.285272372,2287.8498323648,1325.3445742524,1325.3445742524,-94.5613763616,-94.5613763616,-94.5613763616,-89.825434102,-89.825434102,-89.825434102,-4.7359422596,-4.7359422596,-4.7359422596,0.0,0.0,0.0,1230.7831978908
1441238400000,1326.8138707778,283.3071981206,2195.5362899368,1326.8138707778,1326.8138707778,-72.0057112298,-72.0057112298,-72.0057112298,-63.2454550902,-63.2454550902,-63.2454550902,-8.7602561396,-8.7602561396,-8.7602561396,0.0,0.0,0.0,1254.808159548
1441324800000,1328.2831673032,272.2577970943,2269.0635191781,1328.2831673032,1328.2831673032,-63.5828323824,-63.5828323824,-63.5828323824,-52.0428825371,-52.0428825371,-52.0428825371,-11.5399498453,-11.5399498453,-11.5399498453,0.0,0.0,0.0,1264.7003349207
1441411200000,1329.7524638286,362.7373695043,2338.5893779504,1329.7524638286,1329.7524638286,2.3742831913,2.3742831913,2.3742831913,15.3520513765,15.3520513765,15.3520513765,-12.9777681852,-12.9777681852,-12.9777681852,0.0,0.0,0.0,1332.1267470199
1441497600000,1331.221760354,557.9942377842,2608.7282460874,1331.221760354,1331.221760354,206.3023952857,206.3023952857,206.3023952857,219.2998342216,219.2998342216,219.2998342216,-12.9974389359,-12.9974389359,-12.9974389359,0.0,0.0,0.0,1537.5241556396
1441584000000,1332.6910568794,274.4232196997,2272.109921859,1332.6910568794,1332.6910568794,-16.8344499663,-16.8344499663,-16.8344499663,-5.2881330844,-5.2881330844,-5.2881330844,-11.5463168819,-11.5463168819,-11.5463168819,0.0,0.0,0.0,1315.8566069131
1441756800000,1335.6296499302,240.6737202994,2256.0876227057,1335.6296499302,1335.6296499302,-93.9759870204,-93.9759870204,-93.9759870204,-89.8254341016,-89.8254341016,-89.8254341016,-4.1505529188,-4.1505529188,-4.1505529188,0.0,0.0,0.0,1241.6536629098
1442102400000,1341.5068360317,613.4056347442,2626.9078291671,1341.5068360317,1341.5068360317,246.9636514238,246.9636514238,246.9636514238,219.2998342215,219.2998342215,219.2998342215,27.6638172023,27.6638172023,27.6638172023,0.0,0.0,0.0,1588.4704874555
1442188800000,1342.9761325571,328.1951633552,2401.736741252,1342.9761325571,1342.9761325571,33.3719975223,33.3719975223,33.3719975223,-5.2881330845,-5.2881330845,-5.2881330845,38.6601306068,38.6601306068,38.6601306068,0.0,0.0,0.0,1376.3481300795
1442275200000,1344.4454290825,329.2624247331,2462.0851489649,1344.4454290825,1344.4454290825,26.3580768576,26.3580768576,26.3580768576,-24.2499807844,-24.2499807844,-24.2499807844,50.608057642,50.608057642,50.608057642,0.0,0.0,0.0,1370.8035059401
1442361600000,1345.9147256079,311.3012166206,2251.4585137241,1345.9147256079,1345.9147256079,-26.4828090541,-26.4828090541,-26.4828090541,-89.8254341018,-89.8254341018,-89.8254341018,63.3426250478,63.3426250478,63.3426250478,0.0,0.0,0.0,1319.4319165539
1442448000000,1347.3840221333,324.278239999,2397.191658876,1347.3840221333,1347.3840221333,13.4404557439,13.4404557439,13.4404557439,-63.2454550903,-63.2454550903,-63.2454550903,76.6859108342,76.6859108342,76.6859108342,0.0,0.0,0.0,1360.8244778772
1442534400000,1348.8533186587,420.9543573007,2382.5786673628,1348.8533186587,1348.8533186587,38.4080284428,38.4080284428,38.4080284428,-52.042882537,-52.042882537,-52.042882537,90.4509109797,90.4509109797,90.4509109797,0.0,0.0,0.0,1387.2613471015
1442793600000,1353.2612082349,475.6964312378,2537.4539843789,1353.2612082349,1353.2612082349,127.0657743338,127.0657743338,127.0657743338,-5.2881330846,-5.2881330846,-5.2881330846,132.3539074184,132.3539074184,132.3539074184,0.0,0.0,0.0,1480.3269825688
1442966400000,1356.1998012857,369.9013877171,2443.874680719,1356.1998012857,1356.1998012857,69.0963989007,69.0963989007,69.0963989007,-89.8254341014,-89.8254341014,-89.8254341014,158.9218330021,158.9218330021,158.9218330021,0.0,0.0,0.0,1425.2962001864
1443052800000,1357.6690978111,410.3984882408,2498.2725619752,1357.6690978111,1357.6690978111,108.0323433135,108.0323433135,108.0323433135,-63.24545509,-63.24545509,-63.24545509,171.2777984035,171.2777984035,171.2777984035,0.0,0.0,0.0,1465.7014411246
1443484800000,1365.0155804381,536.7080903184,2504.8349597026,1365.0155804381,1365.0155804381,194.2735289907,194.2735289907,194.2735289907,-24.2499807845,-24.2499807845,-24.2499807845,218.5235097753,218.5235097753,218.5235097753,0.0,0.0,0.0,1559.2891094288
1443657600000,1367.9541734889,444.4230852782,2543.3796251629,1367.9541734889,1367.9541734889,165.8285660565,165.8285660565,165.8285660565,-63.2454550901,-63.2454550901,-63.2454550901,229.0740211466,229.0740211466,229.0740211466,0.0,0.0,0.0,1533.7827395454
1443744000000,1369.4234700143,575.2878164378,2585.3390046896,1369.4234700143,1369.4234700143,180.3586939426,180.3586939426,180.3586939426,-52.0428825367,-52.0428825367,-52.0428825367,232.4015764793,232.4015764793,232.4015764793,0.0,0.0,0.0,1549.7821639569
1443830400000,1370.8927665397,573.8628552808,2649.4081920612,1370.8927665397,1370.8927665397,249.7842712869,249.7842712869,249.7842712869,15.3520513757,15.3520513757,15.3520513757,234.4322199111,234.4322199111,234.4322199111,0.0,0.0,0.0,1620.6770378265
1444003200000,1373.8313595905,587.4808102058,2629.5160701293,1373.8313595905,1373.8313595905,229.4085584559,229.4085584559,229.4085584559,-5.2881330846,-5.2881330846,-5.2881330846,234.6966915404,234.6966915404,234.6966915404,0.0,0.0,0.0,1603.2399180464
1444089600000,1375.3006561159,582.8359539917,2617.7783903249,1375.3006561159,1375.3006561159,208.7577066133,208.7577066133,208.7577066133,-24.2499807846,-24.2499807846,-24.2499807846,233.0076873979,233.0076873979,233.0076873979,0.0,0.0,0.0,1584.0583627292
