ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1435104000000,1843.517387,1218.0603745516,2123.9689527389,1843.517387,1843.517387,-164.4516685168,-164.4516685168,-164.4516685168,-57.3448410094,-57.3448410094,-57.3448410094,-107.1068275074,-107.1068275074,-107.1068275074,0.0,0.0,0.0,1679.0657184832
1435622400000,1849.9198666677,1281.3794141999,2202.8019683995,1849.9198666677,1849.9198666677,-117.5807917865,-117.5807917865,-117.5807917865,-5.0359435678,-5.0359435678,-5.0359435678,-112.5448482187,-112.5448482187,-112.5448482187,0.0,0.0,0.0,1732.3390748812
1435795200000,1852.054026557,1298.1049683556,2201.4209473384,1852.054026557,1852.054026557,-111.0664312477,-111.0664312477,-111.0664312477,-13.2108077299,-13.2108077299,-13.2108077299,-97.8556235178,-97.8556235178,-97.8556235178,0.0,0.0,0.0,1740.9875953093
1436227200000,1857.3894262801,1374.5828543761,2295.0020782789,1857.3894262801,1857.3894262801,-38.1940187587,-38.1940187587,-38.1940187587,-5.0359435678,-5.0359435678,-5.0359435678,-33.1580751908,-33.1580751908,-33.1580751908,0.0,0.0,0.0,1819.1954075214
1436400000000,1859.5235861693,1373.6457322273,2286.2199728274,1859.5235861693,1859.5235861693,-14.6527487562,-14.6527487562,-14.6527487562,-13.2108077299,-13.2108077299,-13.2108077299,-1.4419410263,-1.4419410263,-1.4419410263,0.0,0.0,0.0,1844.8708374131
1436486400000,1860.5906661139,1355.9824152719,2279.9053163282,1860.5906661139,1860.5906661139,-12.5017051321,-12.5017051321,-12.5017051321,-26.9542066978,-26.9542066978,-26.9542066978,14.4525015657,14.4525015657,14.4525015657,0.0,0.0,0.0,1848.0889609818
1436745600000,1863.7919059478,1477.5548465522,2385.0442728211,1863.7919059478,1863.7919059478,53.6227367372,53.6227367372,53.6227367372,-5.0610092743,-5.0610092743,-5.0610092743,58.6837460115,58.6837460115,58.6837460115,0.0,0.0,0.0,1917.414642685
1436832000000,1864.8589858924,1473.1785704443,2395.3512844038,1864.8589858924,1864.8589858924,66.3603335488,66.3603335488,66.3603335488,-5.0359435677,-5.0359435677,-5.0359435677,71.3962771166,71.3962771166,71.3962771166,0.0,0.0,0.0,1931.2193194412
1436918400000,1865.926065837,1425.9512330001,2360.6921026019,1865.926065837,1865.926065837,25.386087384,25.386087384,25.386087384,-57.3448410092,-57.3448410092,-57.3448410092,82.7309283932,82.7309283932,82.7309283932,0.0,0.0,0.0,1891.312153221
1437004800000,1866.9931457816,1460.7200365295,2402.6519116947,1866.9931457816,1866.9931457816,79.317653403,79.317653403,79.317653403,-13.21080773,-13.21080773,-13.21080773,92.528461133,92.528461133,92.528461133,0.0,0.0,0.0,1946.3107991847
1437609600000,1874.462705394,1518.2383883821,2437.3309771035,1874.462705394,1874.462705394,101.0431223434,101.0431223434,101.0431223434,-13.21080773,-13.21080773,-13.21080773,114.2539300734,114.2539300734,114.2539300734,0.0,0.0,0.0,1975.5058277374
1437696000000,1875.5297853386,1504.6125318586,2420.9711717757,1875.5297853386,1875.5297853386,84.5009181614,84.5009181614,84.5009181614,-26.9542066977,-26.9542066977,-26.9542066977,111.4551248591,111.4551248591,111.4551248591,0.0,0.0,0.0,1960.0307035
1437782400000,1876.5968652832,1539.7364371371,2436.4366274112,1876.5968652832,1876.5968652832,104.4543115125,104.4543115125,104.4543115125,-3.2102681539,-3.2102681539,-3.2102681539,107.6645796664,107.6645796664,107.6645796664,0.0,0.0,0.0,1981.0511767957
1437955200000,1878.7310251725,1527.4420178596,2404.2537793336,1878.7310251725,1878.7310251725,92.9751214811,92.9751214811,92.9751214811,-5.0610092741,-5.0610092741,-5.0610092741,98.0361307552,98.0361307552,98.0361307552,0.0,0.0,0.0,1971.7061466536
