ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1435104000000,2144.293171,1460.8762636169,2464.0245459301,2144.293171,2144.293171,-211.8698299902,-211.8698299902,-211.8698299902,-57.3561001992,-57.3561001992,-57.3561001992,-154.513729791,-154.513729791,-154.513729791,0.0,0.0,0.0,1932.4233410098
1435622400000,2148.4377235665,1510.2407695467,2505.039221296,2148.4377235665,2148.4377235665,-167.0120550655,-167.0120550655,-167.0120550655,1.9328015347,1.9328015347,1.9328015347,-168.9448566002,-168.9448566002,-168.9448566002,0.0,0.0,0.0,1981.4256685009
1435795200000,2149.8192410886,1489.9522782384,2457.9127484416,2149.8192410886,2149.8192410886,-175.784356616,-175.784356616,-175.784356616,-26.0028808899,-26.0028808899,-26.0028808899,-149.7814757261,-149.7814757261,-149.7814757261,0.0,0.0,0.0,1974.0348844726
1436227200000,2153.273034894,1613.3452276258,2596.4211352035,2153.273034894,2153.273034894,-59.027944488,-59.027944488,-59.027944488,1.9328015346,1.9328015346,1.9328015346,-60.9607460226,-60.9607460226,-60.9607460226,0.0,0.0,0.0,2094.245090406
1436400000000,2154.6545524161,1599.2280640873,2565.5446120774,2154.6545524161,2154.6545524161,-42.8965443418,-42.8965443418,-42.8965443418,-26.0028808899,-26.0028808899,-26.0028808899,-16.8936634519,-16.8936634519,-16.8936634519,0.0,0.0,0.0,2111.7580080743
1436832000000,2158.1083462215,1764.7570233934,2726.6180193726,2158.1083462215,2158.1083462215,84.9869011933,84.9869011933,84.9869011933,1.9328015347,1.9328015347,1.9328015347,83.0540996586,83.0540996586,83.0540996586,0.0,0.0,0.0,2243.0952474148
1436918400000,2158.7991049826,1688.816680043,2658.7984230513,2158.7991049826,2158.7991049826,40.6517193485,40.6517193485,40.6517193485,-57.3561001991,-57.3561001991,-57.3561001991,98.0078195476,98.0078195476,98.0078195476,0.0,0.0,0.0,2199.4508243311
1437004800000,2159.4898637437,1778.4477875586,2715.3031179059,2159.4898637437,2159.4898637437,84.5486456454,84.5486456454,84.5486456454,-26.00288089,-26.00288089,-26.00288089,110.5515265354,110.5515265354,110.5515265354,0.0,0.0,0.0,2244.0385093891
1437609600000,2164.3251750712,1739.832617652,2766.0470000339,2164.3251750712,2164.3251750712,97.654625519,97.654625519,97.654625519,-26.00288089,-26.00288089,-26.00288089,123.6575064091,123.6575064091,123.6575064091,0.0,0.0,0.0,2261.9798005903
1437696000000,2165.0159338323,1739.1826554443,2754.5799628708,2165.0159338323,2165.0159338323,82.4147747552,82.4147747552,82.4147747552,-33.5277629397,-33.5277629397,-33.5277629397,115.9425376948,115.9425376948,115.9425376948,0.0,0.0,0.0,2247.4307085874
1437782400000,2165.7066925934,1769.0572808708,2781.4828109459,2165.7066925934,2165.7066925934,115.3642354843,115.3642354843,115.3642354843,8.7868590871,8.7868590871,8.7868590871,106.5773763972,106.5773763972,106.5773763972,0.0,0.0,0.0,2281.0709280777
1437955200000,2167.0882101155,1804.2816461496,2757.5103636558,2167.0882101155,2167.0882101155,89.7210600193,89.7210600193,89.7210600193,5.3142584847,5.3142584847,5.3142584847,84.4068015346,84.4068015346,84.4068015346,0.0,0.0,0.0,2256.8092701348
1438041600000,2167.7789688766,1751.3033398744,2715.0392677553,2167.7789688766,2167.7789688766,74.3476680905,74.3476680905,74.3476680905,1.9328015346,1.9328015346,1.9328015346,72.4148665558,72.4148665558,72.4148665558,0.0,0.0,0.0,2242.1266369671
1438128000000,2168.4697276377,1706.3098898287,2680.4825946099,2168.4697276377,2168.4697276377,3.0205653569,3.0205653569,3.0205653569,-57.3561001992,-57.3561001992,-57.3561001992,60.3766655561,60.3766655561,60.3766655561,0.0,0.0,0.0,2171.4902929946
1438214400000,2169.1604863987,1748.6154074664,2672.1679938166,2169.1604863987,2169.1604863987,22.7022263727,22.7022263727,22.7022263727,-26.0028808899,-26.0028808899,-26.0028808899,48.7051072625,48.7051072625,48.7051072625,0.0,0.0,0.0,2191.8627127714
1438300800000,2169.8512451598,1693.474704001,2649.3867693348,2169.8512451598,2169.8512451598,4.2669418891,4.2669418891,4.2669418891,-33.5277629399,-33.5277629399,-33.5277629399,37.794704829,37.794704829,37.794704829,0.0,0.0,0.0,2174.1181870489
1438387200000,2170.5420039209,1746.9139869234,2694.2956928378,2170.5420039209,2170.5420039209,36.7975533834,36.7975533834,36.7975533834,8.7868590871,8.7868590871,8.7868590871,28.0106942963,28.0106942963,28.0106942963,0.0,0.0,0.0,2207.3395573043
