ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1435104000000,2110.420617,1026.6869602878,2614.1859681784,2110.420617,2110.420617,-275.3277247106,-275.3277247106,-275.3277247106,-73.442515085,-73.442515085,-73.442515085,-201.8852096256,-201.8852096256,-201.8852096256,0.0,0.0,0.0,1835.0928922894
1435622400000,2107.2603474114,1112.9868946211,2805.718029577,2107.2603474114,2107.2603474114,-158.9725979313,-158.9725979313,-158.9725979313,-9.331715799,-9.331715799,-9.331715799,-149.6408821323,-149.6408821323,-149.6408821323,0.0,0.0,0.0,1948.2877494801
1435795200000,2106.2069242152,1109.8516144674,2696.2760421158,2106.2069242152,2106.2069242152,-175.9296709015,-175.9296709015,-175.9296709015,-64.9244436418,-64.9244436418,-64.9244436418,-111.0052272597,-111.0052272597,-111.0052272597,0.0,0.0,0.0,1930.2772533137
1436227200000,2103.5733662247,1324.8415975903,2962.2595100914,2103.5733662247,2103.5733662247,1.1994420242,1.1994420242,1.1994420242,-9.3317157991,-9.3317157991,-9.3317157991,10.5311578233,10.5311578233,10.5311578233,0.0,0.0,0.0,2104.7728082489
1436400000000,2102.5199430285,1256.7634215533,2874.5903989945,2102.5199430285,2102.5199430285,-5.0561981265,-5.0561981265,-5.0561981265,-64.9244436418,-64.9244436418,-64.9244436418,59.8682455153,59.8682455153,59.8682455153,0.0,0.0,0.0,2097.463744902
1436832000000,2099.886385038,1417.7068664597,3063.0236323878,2099.886385038,2099.886385038,144.7619750909,144.7619750909,144.7619750909,-9.3317157988,-9.3317157988,-9.3317157988,154.0936908897,154.0936908897,154.0936908897,0.0,0.0,0.0,2244.6483601289
1436918400000,2099.3596734399,1315.4914694227,2994.7643866564,2099.3596734399,2099.3596734399,91.8323081029,91.8323081029,91.8323081029,-73.4425150848,-73.4425150848,-73.4425150848,165.2748231876,165.2748231876,165.2748231876,0.0,0.0,0.0,2191.1919815427
1437004800000,2098.8329618418,1402.6888435326,3044.5763600263,2098.8329618418,2098.8329618418,108.5066350241,108.5066350241,108.5066350241,-64.9244436419,-64.9244436419,-64.9244436419,173.431078666,173.431078666,173.431078666,0.0,0.0,0.0,2207.3395968659
1437609600000,2095.1459806551,1391.9866311582,3028.5027893241,2095.1459806551,2095.1459806551,85.0367911368,85.0367911368,85.0367911368,-64.9244436421,-64.9244436421,-64.9244436421,149.9612347789,149.9612347789,149.9612347789,0.0,0.0,0.0,2180.1827717919
1437696000000,2094.619269057,1384.1084497458,2978.5226562681,2094.619269057,2094.619269057,96.441272347,96.441272347,96.441272347,-41.28295349,-41.28295349,-41.28295349,137.724225837,137.724225837,137.724225837,0.0,0.0,0.0,2191.060541404
1437782400000,2094.0925574589,1375.3759499984,3051.0249196531,2094.0925574589,2094.0925574589,125.9292189675,125.9292189675,125.9292189675,1.5980356652,1.5980356652,1.5980356652,124.3311833023,124.3311833023,124.3311833023,0.0,0.0,0.0,2220.0217764263
1437955200000,2093.0391342627,1345.490192542,2918.0171797832,2093.0391342627,2093.0391342627,83.2899821426,83.2899821426,83.2899821426,-12.565646307,-12.565646307,-12.565646307,95.8556284495,95.8556284495,95.8556284495,0.0,0.0,0.0,2176.3291164052
