ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1435104000000,2146.899995,1444.5108375448,2437.1073315506,2146.899995,2146.899995,-212.1266458014,-212.1266458014,-212.1266458014,-57.2783446334,-57.2783446334,-57.2783446334,-154.848301168,-154.848301168,-154.848301168,0.0,0.0,0.0,1934.7733491986
1435622400000,2150.7694141535,1469.6487211743,2455.4520907017,2150.7694141535,2150.7694141535,-167.4841209245,-167.4841209245,-167.4841209245,1.9660244913,1.9660244913,1.9660244913,-169.4501454158,-169.4501454158,-169.4501454158,0.0,0.0,0.0,1983.285293229
1435795200000,2152.059220538,1467.6361439616,2438.3243880632,2152.059220538,2152.059220538,-176.2384541202,-176.2384541202,-176.2384541202,-25.8952416799,-25.8952416799,-25.8952416799,-150.3432124403,-150.3432124403,-150.3432124403,0.0,0.0,0.0,1975.8207664178
1436227200000,2155.2837364992,1594.9958824394,2574.9826226267,2155.2837364992,2155.2837364992,-59.6681344267,-59.6681344267,-59.6681344267,1.9660244912,1.9660244912,1.9660244912,-61.6341589179,-61.6341589179,-61.6341589179,0.0,0.0,0.0,2095.6156020725
1436400000000,2156.5735428837,1636.7842602986,2589.1405791255,2156.5735428837,2156.5735428837,-43.4907643954,-43.4907643954,-43.4907643954,-25.8952416799,-25.8952416799,-25.8952416799,-17.5955227154,-17.5955227154,-17.5955227154,0.0,0.0,0.0,2113.0827784883
1436832000000,2159.7980588449,1742.9004712359,2751.3624415097,2159.7980588449,2159.7980588449,84.2872791241,84.2872791241,84.2872791241,1.9660244913,1.9660244913,1.9660244913,82.3212546328,82.3212546328,82.3212546328,0.0,0.0,0.0,2244.085337969
1436918400000,2160.4429620372,1697.2516529073,2693.2652196389,2160.4429620372,2160.4429620372,39.99572998,39.99572998,39.99572998,-57.2783446333,-57.2783446333,-57.2783446333,97.2740746134,97.2740746134,97.2740746134,0.0,0.0,0.0,2200.4386920172
1437004800000,2161.0878652294,1744.2969041204,2720.3249873493,2161.0878652294,2161.0878652294,83.9227133483,83.9227133483,83.9227133483,-25.89524168,-25.89524168,-25.89524168,109.8179550283,109.8179550283,109.8179550283,0.0,0.0,0.0,2245.0105785778
1437609600000,2165.6021875752,1759.9619747147,2758.1806638711,2165.6021875752,2165.6021875752,97.0305775029,97.0305775029,97.0305775029,-25.89524168,-25.89524168,-25.89524168,122.925819183,122.925819183,122.925819183,0.0,0.0,0.0,2262.6327650781
1437696000000,2166.2470907674,1756.6866295694,2714.0678553819,2166.2470907674,2166.2470907674,81.6547762672,81.6547762672,81.6547762672,-33.5526688244,-33.5526688244,-33.5526688244,115.2074450916,115.2074450916,115.2074450916,0.0,0.0,0.0,2247.9018670346
1437782400000,2166.8919939597,1807.5268263315,2758.885756976,2166.8919939597,2166.8919939597,114.6415176663,114.6415176663,114.6415176663,8.8042494592,8.8042494592,8.8042494592,105.8372682071,105.8372682071,105.8372682071,0.0,0.0,0.0,2281.5335116259
1437955200000,2168.1818003441,1777.4325269042,2760.5816945618,2168.1818003441,2168.1818003441,89.1844564037,89.1844564037,89.1844564037,5.5330047004,5.5330047004,5.5330047004,83.6514517033,83.6514517033,83.6514517033,0.0,0.0,0.0,2257.3662567479
1438041600000,2168.8267035364,1746.1849437131,2747.4584171579,2168.8267035364,2168.8267035364,73.615270912,73.615270912,73.615270912,1.9660244912,1.9660244912,1.9660244912,71.6492464208,71.6492464208,71.6492464208,0.0,0.0,0.0,2242.4419744484
1438128000000,2169.4716067286,1656.4289355985,2628.6803488792,2169.4716067286,2169.4716067286,2.3207327192,2.3207327192,2.3207327192,-57.2783446334,-57.2783446334,-57.2783446334,59.5990773526,59.5990773526,59.5990773526,0.0,0.0,0.0,2171.7923394479
1438214400000,2170.1165099209,1686.7845203485,2682.8209285985,2170.1165099209,2170.1165099209,22.018734515,22.018734515,22.018734515,-25.8952416799,-25.8952416799,-25.8952416799,47.9139761949,47.9139761949,47.9139761949,0.0,0.0,0.0,2192.1352444359
1438300800000,2170.7614131131,1684.3849846516,2668.2167645269,2170.7614131131,2170.7614131131,3.435963827,3.435963827,3.435963827,-33.5526688246,-33.5526688246,-33.5526688246,36.9886326516,36.9886326516,36.9886326516,0.0,0.0,0.0,2174.1973769402
1438387200000,2171.4063163054,1714.0857048972,2664.4298101643,2171.4063163054,2171.4063163054,35.9927577204,35.9927577204,35.9927577204,8.8042494592,8.8042494592,8.8042494592,27.1885082612,27.1885082612,27.1885082612,0.0,0.0,0.0,2207.3990740258
