ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,692.418302,-247.3045675349,1652.2745349708,692.418302,692.418302,41.0316834403,41.0316834403,41.0316834403,39.7840587116,39.7840587116,39.7840587116,1.2476247288,1.2476247288,1.2476247288,0.0,0.0,0.0,733.4499854403
1434931200000,694.7545150843,-374.761371293,1746.177288076,694.7545150843,694.7545150843,-16.2930778921,-16.2930778921,-16.2930778921,-25.4025306789,-25.4025306789,-25.4025306789,9.1094527868,9.1094527868,9.1094527868,0.0,0.0,0.0,678.4614371922
1435017600000,695.9226216265,-280.6271251488,1685.0605998452,695.9226216265,695.9226216265,13.8833259095,13.8833259095,13.8833259095,0.0053134363,0.0053134363,0.0053134363,13.8780124732,13.8780124732,13.8780124732,0.0,0.0,0.0,709.805947536
1435104000000,697.0907281686,-227.1112287127,1666.8774425553,697.0907281686,697.0907281686,10.136845266,10.136845266,10.136845266,-9.149618374,-9.149618374,-9.149618374,19.28646364,19.28646364,19.28646364,0.0,0.0,0.0,707.2275734346
1435190400000,698.2588347108,-223.9612952211,1725.0723057552,698.2588347108,698.2588347108,0.7827291162,0.7827291162,0.7827291162,-24.582957838,-24.582957838,-24.582957838,25.3656869542,25.3656869542,25.3656869542,0.0,0.0,0.0,699.041563827
1435276800000,699.426941253,-240.579943783,1668.558136122,699.426941253,699.426941253,45.2326986048,45.2326986048,45.2326986048,13.1109218381,13.1109218381,13.1109218381,32.1217767667,32.1217767667,32.1217767667,0.0,0.0,0.0,744.6596398578
1435363200000,700.5950477951,-197.9277708108,1687.5033074459,700.5950477951,700.5950477951,79.3204592868,79.3204592868,79.3204592868,39.7840587116,39.7840587116,39.7840587116,39.5364005752,39.5364005752,39.5364005752,0.0,0.0,0.0,779.9155070819
1435449600000,701.7631543373,-203.4962122541,1752.1131019673,701.7631543373,701.7631543373,53.8026901817,53.8026901817,53.8026901817,6.2348129051,6.2348129051,6.2348129051,47.5678772766,47.5678772766,47.5678772766,0.0,0.0,0.0,755.565844519
1435622400000,704.0993674216,-198.1229386329,1796.4413484687,704.0993674216,704.0993674216,65.2143349233,65.2143349233,65.2143349233,0.0053134362,0.0053134362,0.0053134362,65.209021487,65.209021487,65.209021487,0.0,0.0,0.0,769.3137023449
1435708800000,705.2674739638,-218.9034224144,1741.44776386,705.2674739638,705.2674739638,65.4876463864,65.4876463864,65.4876463864,-9.149618374,-9.149618374,-9.149618374,74.6372647604,74.6372647604,74.6372647604,0.0,0.0,0.0,770.7551203502
1435795200000,706.4355805059,-203.814421052,1751.6647935511,706.4355805059,706.4355805059,59.7427273061,59.7427273061,59.7427273061,-24.582957838,-24.582957838,-24.582957838,84.3256851441,84.3256851441,84.3256851441,0.0,0.0,0.0,766.178307812
1435968000000,708.7717935902,-78.5482743621,1846.4002856879,708.7717935902,708.7717935902,143.7757498066,143.7757498066,143.7757498066,39.7840587116,39.7840587116,39.7840587116,103.991691095,103.991691095,103.991691095,0.0,0.0,0.0,852.5475433968
1436140800000,711.1080066745,-129.4037173164,1766.3217324079,711.1080066745,711.1080066745,97.7886586419,97.7886586419,97.7886586419,-25.4025306789,-25.4025306789,-25.4025306789,123.1911893208,123.1911893208,123.1911893208,0.0,0.0,0.0,808.8966653165
1436227200000,712.2761132167,-140.2252863218,1721.3473920165,712.2761132167,712.2761132167,132.309532847,132.309532847,132.309532847,0.0053134362,0.0053134362,0.0053134362,132.3042194107,132.3042194107,132.3042194107,0.0,0.0,0.0,844.5856460637
1436400000000,714.612326301,-161.2434640307,1821.5482294638,714.612326301,714.612326301,124.4186227255,124.4186227255,124.4186227255,-24.582957838,-24.582957838,-24.582957838,149.0015805635,149.0015805635,149.0015805635,0.0,0.0,0.0,839.0309490265
1436486400000,715.7804328432,-84.2546751961,1827.3204945477,715.7804328432,715.7804328432,169.5130695568,169.5130695568,169.5130695568,13.1109218381,13.1109218381,13.1109218381,156.4021477188,156.4021477188,156.4021477188,0.0,0.0,0.0,885.2935024
1436572800000,716.9485393853,-26.5788200215,1805.6629911823,716.9485393853,716.9485393853,202.8591811445,202.8591811445,202.8591811445,39.7840587116,39.7840587116,39.7840587116,163.075122433,163.075122433,163.075122433,0.0,0.0,0.0,919.8077205299
1436745600000,719.2847524697,-72.7049569713,1827.8459859372,719.2847524697,719.2847524697,148.6599291396,148.6599291396,148.6599291396,-25.4025306789,-25.4025306789,-25.4025306789,174.0624598185,174.0624598185,174.0624598185,0.0,0.0,0.0,867.9446816092
1436832000000,720.4528590118,-97.3202920475,1899.3941729847,720.4528590118,720.4528590118,178.3431510023,178.3431510023,178.3431510023,0.0053134362,0.0053134362,0.0053134362,178.337837566,178.337837566,178.337837566,0.0,0.0,0.0,898.7960100141
1436918400000,721.620965554,-4.4983220106,1811.9736354788,721.620965554,721.620965554,172.657963766,172.657963766,172.657963766,-9.149618374,-9.149618374,-9.149618374,181.80758214,181.80758214,181.80758214,0.0,0.0,0.0,894.27892932
1437004800000,722.7890720961,-82.9488098353,1828.5375261684,722.7890720961,722.7890720961,159.916943243,159.916943243,159.916943243,-24.582957838,-24.582957838,-24.582957838,184.499901081,184.499901081,184.499901081,0.0,0.0,0.0,882.7060153391
1437609600000,730.9658178913,-16.0559564696,1940.4574271459,730.9658178913,730.9658178913,162.3304861226,162.3304861226,162.3304861226,-24.582957838,-24.582957838,-24.582957838,186.9134439606,186.9134439606,186.9134439606,0.0,0.0,0.0,893.2963040139
1437696000000,732.1339244334,-76.3848189845,1905.3727715832,732.1339244334,732.1339244334,199.0302525318,199.0302525318,199.0302525318,13.1109218381,13.1109218381,13.1109218381,185.9193306937,185.9193306937,185.9193306937,0.0,0.0,0.0,931.1641769652
1437782400000,733.3020309756,-9.8829832571,1846.7588321377,733.3020309756,733.3020309756,224.6378141308,224.6378141308,224.6378141308,39.7840587116,39.7840587116,39.7840587116,184.8537554192,184.8537554192,184.8537554192,0.0,0.0,0.0,957.9398451063
1437955200000,735.6382440599,-104.0186914868,1823.7138253071,735.6382440599,735.6382440599,157.3930466069,157.3930466069,157.3930466069,-25.4025306789,-25.4025306789,-25.4025306789,182.7955772858,182.7955772858,182.7955772858,0.0,0.0,0.0,893.0312906668
1438041600000,736.806350602,-36.2362358955,1891.7278460279,736.806350602,736.806350602,181.9220743548,181.9220743548,181.9220743548,0.0053134363,0.0053134363,0.0053134363,181.9167609185,181.9167609185,181.9167609185,0.0,0.0,0.0,918.7284249568
1438128000000,737.9744571442,-65.6493999805,1904.755243996,737.9744571442,737.9744571442,172.0409475134,172.0409475134,172.0409475134,-9.1496183741,-9.1496183741,-9.1496183741,181.1905658875,181.1905658875,181.1905658875,0.0,0.0,0.0,910.0154046576
1438214400000,739.1425636864,-90.0198192134,1820.096723678,739.1425636864,739.1425636864,156.0540700945,156.0540700945,156.0540700945,-24.582957838,-24.582957838,-24.582957838,180.6370279325,180.6370279325,180.6370279325,0.0,0.0,0.0,895.1966337808
1438300800000,740.3106702285,-50.5181977535,1860.1089342846,740.3106702285,740.3106702285,193.37104892,193.37104892,193.37104892,13.110921838,13.110921838,13.110921838,180.260127082,180.260127082,180.260127082,0.0,0.0,0.0,933.6817191485
1438387200000,741.4787767707,-38.0744110917,1959.9589550227,741.4787767707,741.4787767707,219.8319842249,219.8319842249,219.8319842249,39.7840587116,39.7840587116,39.7840587116,180.0479255133,180.0479255133,180.0479255133,0.0,0.0,0.0,961.3107609956
1438560000000,743.814989855,-59.2416335019,1854.498009411,743.814989855,743.814989855,154.5924291785,154.5924291785,154.5924291785,-25.4025306789,-25.4025306789,-25.4025306789,179.9949598574,179.9949598574,179.9949598574,0.0,0.0,0.0,898.4074190335
1438646400000,744.9830963972,-61.5783417585,1859.9171540964,744.9830963972,744.9830963972,180.0648691527,180.0648691527,180.0648691527,0.0053134363,0.0053134363,0.0053134363,180.0595557165,180.0595557165,180.0595557165,0.0,0.0,0.0,925.0479655499
1438732800000,746.1512029393,-92.0218737912,1876.3791476406,746.1512029393,746.1512029393,170.9537884395,170.9537884395,170.9537884395,-9.149618374,-9.149618374,-9.149618374,180.1034068135,180.1034068135,180.1034068135,0.0,0.0,0.0,917.1049913788
1438819200000,747.3193094815,-150.3361193369,1873.7235994602,747.3193094815,747.3193094815,155.4722312074,155.4722312074,155.4722312074,-24.582957838,-24.582957838,-24.582957838,180.0551890455,180.0551890455,180.0551890455,0.0,0.0,0.0,902.7915406889
1438905600000,748.4874160236,-97.1821783116,1957.2474488196,748.4874160236,748.4874160236,192.9495744895,192.9495744895,192.9495744895,13.110921838,13.110921838,13.110921838,179.8386526515,179.8386526515,179.8386526515,0.0,0.0,0.0,941.4369905132
1438992000000,749.6555225658,-69.6965141711,1923.6585963072,749.6555225658,749.6555225658,219.15961989,219.15961989,219.15961989,39.7840587116,39.7840587116,39.7840587116,179.3755611784,179.3755611784,179.3755611784,0.0,0.0,0.0,968.8151424558
1439164800000,751.9917356501,1.1819085713,1883.4224886859,751.9917356501,751.9917356501,152.0024277954,152.0024277954,152.0024277954,-25.4025306789,-25.4025306789,-25.4025306789,177.4049584743,177.4049584743,177.4049584743,0.0,0.0,0.0,903.9941634455
1439251200000,753.1598421923,-6.711082601,1875.6868311256,753.1598421923,753.1598421923,175.7633916485,175.7633916485,175.7633916485,0.0053134362,0.0053134362,0.0053134362,175.7580782122,175.7580782122,175.7580782122,0.0,0.0,0.0,928.9232338408
1439337600000,754.3279487344,-65.6802601346,1871.6580255507,754.3279487344,754.3279487344,164.441870066,164.441870066,164.441870066,-9.149618374,-9.149618374,-9.149618374,173.59148844,173.59148844,173.59148844,0.0,0.0,0.0,918.7698188004
1439424000000,755.4960552766,-22.3676622345,1870.4647642411,755.4960552766,755.4960552766,146.2776675354,146.2776675354,146.2776675354,-24.582957838,-24.582957838,-24.582957838,170.8606253734,170.8606253734,170.8606253734,0.0,0.0,0.0,901.773722812
1439856000000,761.3365879874,-39.6196225462,1878.8242367068,761.3365879874,761.3365879874,148.2451613248,148.2451613248,148.2451613248,0.0053134362,0.0053134362,0.0053134362,148.2398478885,148.2398478885,148.2398478885,0.0,0.0,0.0,909.5817493122
1439942400000,762.5046945296,-25.9483084696,1876.1574194394,762.5046945296,762.5046945296,132.9064258562,132.9064258562,132.9064258562,-9.1496183741,-9.1496183741,-9.1496183741,142.0560442303,142.0560442303,142.0560442303,0.0,0.0,0.0,895.4111203858
1440115200000,764.8409076139,-41.0220281675,1863.2700541927,764.8409076139,764.8409076139,141.5906406005,141.5906406005,141.5906406005,13.110921838,13.110921838,13.110921838,128.4797187626,128.4797187626,128.4797187626,0.0,0.0,0.0,906.4315482144
1440201600000,766.009014156,-60.7469003335,1830.2480524235,766.009014156,766.009014156,161.0490942422,161.0490942422,161.0490942422,39.7840587116,39.7840587116,39.7840587116,121.2650355306,121.2650355306,121.2650355306,0.0,0.0,0.0,927.0581083982
1440374400000,768.3452272403,-167.0342650093,1809.2748256544,768.3452272403,768.3452272403,81.100310011,81.100310011,81.100310011,-25.4025306789,-25.4025306789,-25.4025306789,106.5028406899,106.5028406899,106.5028406899,0.0,0.0,0.0,849.4455372513
1440460800000,769.5133337825,-88.1657488286,1798.4529798839,769.5133337825,769.5133337825,99.1875257156,99.1875257156,99.1875257156,0.0053134363,0.0053134363,0.0053134363,99.1822122793,99.1822122793,99.1822122793,0.0,0.0,0.0,868.7008594981
1440547200000,770.6814403247,-122.1076864922,1821.0863312834,770.6814403247,770.6814403247,82.9069300518,82.9069300518,82.9069300518,-9.1496183741,-9.1496183741,-9.1496183741,92.0565484259,92.0565484259,92.0565484259,0.0,0.0,0.0,853.5883703764
1440633600000,771.8495468668,-142.418372369,1797.6960835649,771.8495468668,771.8495468668,60.6566936648,60.6566936648,60.6566936648,-24.582957838,-24.582957838,-24.582957838,85.2396515028,85.2396515028,85.2396515028,0.0,0.0,0.0,832.5062405316
1440720000000,773.017653409,-72.7973092601,1820.742749592,773.017653409,773.017653409,91.9507412035,91.9507412035,91.9507412035,13.110921838,13.110921838,13.110921838,78.8398193655,78.8398193655,78.8398193655,0.0,0.0,0.0,864.9683946125
1440806400000,774.1857599511,-114.2782312903,1867.9238675508,774.1857599511,774.1857599511,112.7409299278,112.7409299278,112.7409299278,39.7840587116,39.7840587116,39.7840587116,72.9568712163,72.9568712163,72.9568712163,0.0,0.0,0.0,886.926689879
