ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434499200000,1171.44244,-1965.4637438479,4522.7771858235,1171.44244,1171.44244,258.2702297167,258.2702297167,258.2702297167,155.1237443333,155.1237443333,155.1237443333,103.1464853835,103.1464853835,103.1464853835,0.0,0.0,0.0,1429.7126697167
1434931200000,1218.6565200276,-1391.6894141569,5001.1862358708,1218.6565200276,1218.6565200276,619.1240829718,619.1240829718,619.1240829718,384.4442846216,384.4442846216,384.4442846216,234.6797983502,234.6797983502,234.6797983502,0.0,0.0,0.0,1837.7806029994
1435017600000,1228.0993360332,-1748.3889330415,4881.8701261651,1228.0993360332,1228.0993360332,265.7005676878,265.7005676878,265.7005676878,-22.6899585469,-22.6899585469,-22.6899585469,288.3905262347,288.3905262347,288.3905262347,0.0,0.0,0.0,1493.799903721
1435190400000,1246.9849680442,-1681.7427921768,4833.6758373027,1246.9849680442,1246.9849680442,458.2776094267,458.2776094267,458.2776094267,47.4853100804,47.4853100804,47.4853100804,410.7922993463,410.7922993463,410.7922993463,0.0,0.0,0.0,1705.2625774709
1435276800000,1256.4277840498,-1502.5094672803,4830.8335379283,1256.4277840498,1256.4277840498,364.4397151503,364.4397151503,364.4397151503,-111.0322872447,-111.0322872447,-111.0322872447,475.4720023951,475.4720023951,475.4720023951,0.0,0.0,0.0,1620.8674992001
1435363200000,1265.8706000553,-1105.919187194,5079.2015036233,1265.8706000553,1265.8706000553,660.3391142045,660.3391142045,660.3391142045,120.7175749447,120.7175749447,120.7175749447,539.6215392598,539.6215392598,539.6215392598,0.0,0.0,0.0,1926.2097142598
1435536000000,1284.7562320663,-1127.8886582971,5404.2198275117,1284.7562320663,1284.7562320663,1042.0641568964,1042.0641568964,1042.0641568964,384.4442846209,384.4442846209,384.4442846209,657.6198722755,657.6198722755,657.6198722755,0.0,0.0,0.0,2326.8203889628
1435622400000,1294.1990480719,-1254.8991110796,5177.8331332141,1294.1990480719,1294.1990480719,684.5565021931,684.5565021931,684.5565021931,-22.6899585464,-22.6899585464,-22.6899585464,707.2464607396,707.2464607396,707.2464607396,0.0,0.0,0.0,1978.755550265
1435708800000,1303.6418640774,-900.9601354475,5551.2522050967,1303.6418640774,1303.6418640774,903.1344345536,903.1344345536,903.1344345536,155.123744332,155.123744332,155.123744332,748.0106902216,748.0106902216,748.0106902216,0.0,0.0,0.0,2206.776298631
1435795200000,1313.0846800829,-1007.142499839,5510.7583751127,1313.0846800829,1313.0846800829,825.6672017445,825.6672017445,825.6672017445,47.4853100786,47.4853100786,47.4853100786,778.1818916658,778.1818916658,778.1818916658,0.0,0.0,0.0,2138.7518818274
1436572800000,1398.0700241327,-1223.686653808,5253.4517742944,1398.0700241327,1398.0700241327,552.2343300666,552.2343300666,552.2343300666,120.7175749455,120.7175749455,120.7175749455,431.5167551211,431.5167551211,431.5167551211,0.0,0.0,0.0,1950.3043541993
1436745600000,1416.9556561437,-995.7777918566,5018.9737875416,1416.9556561437,1416.9556561437,598.4811762573,598.4811762573,598.4811762573,384.4442846226,384.4442846226,384.4442846226,214.0368916347,214.0368916347,214.0368916347,0.0,0.0,0.0,2015.436832401
1436832000000,1426.3984721493,-1760.0347371745,4802.017449527,1426.3984721493,1426.3984721493,71.2233084565,71.2233084565,71.2233084565,-22.6899585473,-22.6899585473,-22.6899585473,93.9132670038,93.9132670038,93.9132670038,0.0,0.0,0.0,1497.6217806058
1436918400000,1435.8412881548,-1763.3662082363,4624.4732676017,1435.8412881548,1435.8412881548,124.1297914481,124.1297914481,124.1297914481,155.1237443311,155.1237443311,155.1237443311,-30.9939528829,-30.9939528829,-30.9939528829,0.0,0.0,0.0,1559.9710796029
1437264000000,1473.6125521769,-2837.1458589173,3509.9839409021,1473.6125521769,1473.6125521769,-1106.7540800908,-1106.7540800908,-1106.7540800908,-574.048668187,-574.048668187,-574.048668187,-532.7054119038,-532.7054119038,-532.7054119038,0.0,0.0,0.0,366.8584720861
1437609600000,1511.383816199,-2714.613045099,4097.730182618,1511.383816199,1511.383816199,-885.5209752455,-885.5209752455,-885.5209752455,47.4853100803,47.4853100803,47.4853100803,-933.0062853258,-933.0062853258,-933.0062853258,0.0,0.0,0.0,625.8628409535
1437955200000,1549.1550802211,-2274.5091040485,4039.4835861441,1549.1550802211,1549.1550802211,-745.4566369185,-745.4566369185,-745.4566369185,384.4442846199,384.4442846199,384.4442846199,-1129.9009215384,-1129.9009215384,-1129.9009215384,0.0,0.0,0.0,803.6984433026
1438041600000,1558.5978962267,-2883.5551106788,3534.4261765126,1558.5978962267,1558.5978962267,-1164.9633698141,-1164.9633698141,-1164.9633698141,-22.6899585467,-22.6899585467,-22.6899585467,-1142.2734112675,-1142.2734112675,-1142.2734112675,0.0,0.0,0.0,393.6345264126
1438214400000,1577.4835282377,-2642.788879371,3670.2999040654,1577.4835282377,1577.4835282377,-1076.9592569665,-1076.9592569665,-1076.9592569665,47.4853100785,47.4853100785,47.4853100785,-1124.4445670449,-1124.4445670449,-1124.4445670449,0.0,0.0,0.0,500.5242712713
1438300800000,1586.9263442433,-2910.9456901711,3574.9635901046,1586.9263442433,1586.9263442433,-1207.0132283319,-1207.0132283319,-1207.0132283319,-111.0322872448,-111.0322872448,-111.0322872448,-1095.9809410871,-1095.9809410871,-1095.9809410871,0.0,0.0,0.0,379.9131159113
1438560000000,1615.2547922598,-2450.3147478738,4147.7651344345,1615.2547922598,1615.2547922598,-563.8325028206,-563.8325028206,-563.8325028206,384.4442846207,384.4442846207,384.4442846207,-948.2767874414,-948.2767874414,-948.2767874414,0.0,0.0,0.0,1051.4222894392
1438646400000,1624.6976082654,-2554.8531486833,3924.0802282313,1624.6976082654,1624.6976082654,-906.5308641978,-906.5308641978,-906.5308641978,-22.6899585463,-22.6899585463,-22.6899585463,-883.8409056515,-883.8409056515,-883.8409056515,0.0,0.0,0.0,718.1667440676
1438819200000,1643.5832402764,-2102.8455945262,4211.1183381924,1643.5832402764,1643.5832402764,-695.9387745152,-695.9387745152,-695.9387745152,47.4853100813,47.4853100813,47.4853100813,-743.4240845965,-743.4240845965,-743.4240845965,0.0,0.0,0.0,947.6444657612
1439251200000,1690.7973203041,-1893.8751315903,4396.5582691349,1690.7973203041,1690.7973203041,-435.484337749,-435.484337749,-435.484337749,-22.6899585475,-22.6899585475,-22.6899585475,-412.7943792015,-412.7943792015,-412.7943792015,0.0,0.0,0.0,1255.312982555
1439337600000,1700.2401363096,-1937.1541471173,4656.6822747255,1700.2401363096,1700.2401363096,-208.1750599369,-208.1750599369,-208.1750599369,155.1237443334,155.1237443334,155.1237443334,-363.2988042703,-363.2988042703,-363.2988042703,0.0,0.0,0.0,1492.0650763727
1439424000000,1709.6829523151,-1798.25991322,4690.6964595445,1709.6829523151,1709.6829523151,-274.7478552846,-274.7478552846,-274.7478552846,47.4853100793,47.4853100793,47.4853100793,-322.233165364,-322.233165364,-322.233165364,0.0,0.0,0.0,1434.9350970305
1439769600000,1747.4542163372,-1440.0760350261,5071.1288431551,1747.4542163372,1747.4542163372,130.5992412118,130.5992412118,130.5992412118,384.4442846209,384.4442846209,384.4442846209,-253.8450434091,-253.8450434091,-253.8450434091,0.0,0.0,0.0,1878.0534575491
1439856000000,1756.8970323428,-1807.586391597,4696.4942791871,1756.8970323428,1756.8970323428,-284.0597688553,-284.0597688553,-284.0597688553,-22.6899585455,-22.6899585455,-22.6899585455,-261.3698103098,-261.3698103098,-261.3698103098,0.0,0.0,0.0,1472.8372634875
1439942400000,1766.3398483483,-1493.7887106252,4831.1655738246,1766.3398483483,1766.3398483483,-123.0300861611,-123.0300861611,-123.0300861611,155.1237443328,155.1237443328,155.1237443328,-278.1538304938,-278.1538304938,-278.1538304938,0.0,0.0,0.0,1643.3097621872
1440028800000,1775.7826643538,-1623.1322417666,4637.2746307203,1775.7826643538,1775.7826643538,-256.0406831437,-256.0406831437,-256.0406831437,47.4853100824,47.4853100824,47.4853100824,-303.5259932261,-303.5259932261,-303.5259932261,0.0,0.0,0.0,1519.7419812101
1440115200000,1785.2254803594,-1846.4575873733,4586.1566853793,1785.2254803594,1785.2254803594,-447.673048154,-447.673048154,-447.673048154,-111.0322872442,-111.0322872442,-111.0322872442,-336.6407609098,-336.6407609098,-336.6407609098,0.0,0.0,0.0,1337.5524322053
1440201600000,1794.6682963649,-1511.4488017809,4950.9966157256,1794.6682963649,1794.6682963649,-255.7920299253,-255.7920299253,-255.7920299253,120.7175749445,120.7175749445,120.7175749445,-376.5096048699,-376.5096048699,-376.5096048699,0.0,0.0,0.0,1538.8762664396
1440374400000,1813.553928376,-1452.7786499437,4868.9398684232,1813.553928376,1813.553928376,-87.60171466,-87.60171466,-87.60171466,384.4442846218,384.4442846218,384.4442846218,-472.0459992818,-472.0459992818,-472.0459992818,0.0,0.0,0.0,1725.952213716
1440460800000,1822.9967443815,-1936.1322111179,4558.7934269567,1822.9967443815,1822.9967443815,-548.023905542,-548.023905542,-548.023905542,-22.6899585469,-22.6899585469,-22.6899585469,-525.3339469951,-525.3339469951,-525.3339469951,0.0,0.0,0.0,1274.9728388395
1440547200000,1832.439560387,-1779.0776746007,4681.713960707,1832.439560387,1832.439560387,-425.5640660636,-425.5640660636,-425.5640660636,155.1237443321,155.1237443321,155.1237443321,-580.6878103958,-580.6878103958,-580.6878103958,0.0,0.0,0.0,1406.8754943234
1440633600000,1841.8823763925,-1897.2894106349,4487.739682853,1841.8823763925,1841.8823763925,-589.4422292085,-589.4422292085,-589.4422292085,47.4853100804,47.4853100804,47.4853100804,-636.9275392889,-636.9275392889,-636.9275392889,0.0,0.0,0.0,1252.440147184
1440720000000,1851.3251923981,-2212.6894790646,4420.8871231066,1851.3251923981,1851.3251923981,-803.9671340973,-803.9671340973,-803.9671340973,-111.0322872447,-111.0322872447,-111.0322872447,-692.9348468525,-692.9348468525,-692.9348468525,0.0,0.0,0.0,1047.3580583008
1440806400000,1860.7680084036,-2035.7940947175,4526.1313171206,1860.7680084036,1860.7680084036,-626.9628920096,-626.9628920096,-626.9628920096,120.717574946,120.717574946,120.717574946,-747.6804669556,-747.6804669556,-747.6804669556,0.0,0.0,0.0,1233.805116394
1440979200000,1879.6536404147,-1861.3373301406,4619.6088496789,1879.6536404147,1879.6536404147,-465.4039655393,-465.4039655393,-465.4039655393,384.4442846211,384.4442846211,384.4442846211,-849.8482501604,-849.8482501604,-849.8482501604,0.0,0.0,0.0,1414.2496748754
1441065600000,1889.0964564202,-2202.6043708595,4406.2849604034,1889.0964564202,1889.0964564202,-918.5302961435,-918.5302961435,-918.5302961435,-22.6899585481,-22.6899585481,-22.6899585481,-895.8403375954,-895.8403375954,-895.8403375954,0.0,0.0,0.0,970.5661602767
1441152000000,1898.5392724257,-2003.9545426774,4379.6031086427,1898.5392724257,1898.5392724257,-782.6078731165,-782.6078731165,-782.6078731165,155.1237443341,155.1237443341,155.1237443341,-937.7316174506,-937.7316174506,-937.7316174506,0.0,0.0,0.0,1115.9313993092
1441238400000,1907.9820884312,-2197.0505088854,4009.1618441802,1907.9820884312,1907.9820884312,-927.6988388473,-927.6988388473,-927.6988388473,47.485310081,47.485310081,47.485310081,-975.1841489283,-975.1841489283,-975.1841489283,0.0,0.0,0.0,980.283249584
1441324800000,1917.4249044368,-2379.7206939565,4222.8191212632,1917.4249044368,1917.4249044368,-1119.0434923383,-1119.0434923383,-1119.0434923383,-111.0322872432,-111.0322872432,-111.0322872432,-1008.0112050951,-1008.0112050951,-1008.0112050951,0.0,0.0,0.0,798.3814120985
1441411200000,1926.8677204423,-2346.597789763,4146.7740535277,1926.8677204423,1926.8677204423,-915.4521183374,-915.4521183374,-915.4521183374,120.7175749448,120.7175749448,120.7175749448,-1036.1696932822,-1036.1696932822,-1036.1696932822,0.0,0.0,0.0,1011.4156021049
