ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,1256.817714,70.2508773725,2272.0620505006,1256.817714,1256.817714,-89.4122636809,-89.4122636809,-89.4122636809,39.2298893112,39.2298893112,39.2298893112,-128.6421529921,-128.6421529921,-128.6421529921,0.0,0.0,0.0,1167.4054503191
1434931200000,1257.0761288388,2.2114463513,2125.35473773,1257.0761288388,1257.0761288388,-162.341148616,-162.341148616,-162.341148616,-22.1725289415,-22.1725289415,-22.1725289415,-140.1686196745,-140.1686196745,-140.1686196745,0.0,0.0,0.0,1094.7349802228
1435017600000,1257.2053362582,64.4069780075,2181.2830945146,1257.2053362582,1257.2053362582,-142.3645781847,-142.3645781847,-142.3645781847,1.0675384957,1.0675384957,1.0675384957,-143.4321166805,-143.4321166805,-143.4321166805,0.0,0.0,0.0,1114.8407580735
1435104000000,1257.3345436776,-64.646798935,2124.055930592,1257.3345436776,1257.3345436776,-184.8740298051,-184.8740298051,-184.8740298051,-40.168678378,-40.168678378,-40.168678378,-144.7053514271,-144.7053514271,-144.7053514271,0.0,0.0,0.0,1072.4605138725
1435190400000,1257.463751097,13.5572783031,2204.3003307165,1257.463751097,1257.463751097,-170.3240278798,-170.3240278798,-170.3240278798,-26.52104102,-26.52104102,-26.52104102,-143.8029868598,-143.8029868598,-143.8029868598,0.0,0.0,0.0,1087.1397232172
1435276800000,1257.5929585164,100.185277831,2194.5093959945,1257.5929585164,1257.5929585164,-154.6454006754,-154.6454006754,-154.6454006754,-14.0540017807,-14.0540017807,-14.0540017807,-140.5913988947,-140.5913988947,-140.5913988947,0.0,0.0,0.0,1102.947557841
1435363200000,1257.7221659358,153.784938817,2209.8351249079,1257.7221659358,1257.7221659358,-95.7620742728,-95.7620742728,-95.7620742728,39.2298893113,39.2298893113,39.2298893113,-134.9919635841,-134.9919635841,-134.9919635841,0.0,0.0,0.0,1161.960091663
1435449600000,1257.8513733552,139.2714869781,2274.7239016692,1257.8513733552,1257.8513733552,-64.3641659853,-64.3641659853,-64.3641659853,62.6188223132,62.6188223132,62.6188223132,-126.9829882985,-126.9829882985,-126.9829882985,0.0,0.0,0.0,1193.4872073699
1435536000000,1257.9805807746,-2.5552865822,2181.858452634,1257.9805807746,1257.9805807746,-138.7727775583,-138.7727775583,-138.7727775583,-22.1725289415,-22.1725289415,-22.1725289415,-116.6002486168,-116.6002486168,-116.6002486168,0.0,0.0,0.0,1119.2078032163
1435622400000,1258.109788194,7.4063582103,2257.0615051439,1258.109788194,1258.109788194,-102.8685893309,-102.8685893309,-102.8685893309,1.0675384957,1.0675384957,1.0675384957,-103.9361278266,-103.9361278266,-103.9361278266,0.0,0.0,0.0,1155.2411988631
1435708800000,1258.2389956134,59.8931255548,2189.2784826247,1258.2389956134,1258.2389956134,-129.3060692565,-129.3060692565,-129.3060692565,-40.1686783779,-40.1686783779,-40.1686783779,-89.1373908786,-89.1373908786,-89.1373908786,0.0,0.0,0.0,1128.9329263569
1435795200000,1258.3682030328,169.8162431081,2227.9815641917,1258.3682030328,1258.3682030328,-98.9226994474,-98.9226994474,-98.9226994474,-26.5210410199,-26.5210410199,-26.5210410199,-72.4016584275,-72.4016584275,-72.4016584275,0.0,0.0,0.0,1159.4455035854
