ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1435104000000,2146.899995,1464.9662023815,2410.9528504196,2146.899995,2146.899995,-212.1266458014,-212.1266458014,-212.1266458014,-57.2783446334,-57.2783446334,-57.2783446334,-154.848301168,-154.848301168,-154.848301168,0.0,0.0,0.0,1934.7733491986
1435622400000,2150.7694141535,1520.4908215171,2491.1194519569,2150.7694141535,2150.7694141535,-167.4841209245,-167.4841209245,-167.4841209245,1.9660244913,1.9660244913,1.9660244913,-169.4501454158,-169.4501454158,-169.4501454158,0.0,0.0,0.0,1983.285293229
1435795200000,2152.059220538,1464.5199216265,2469.47187644,2152.059220538,2152.059220538,-176.2384541202,-176.2384541202,-176.2384541202,-25.8952416799,-25.8952416799,-25.8952416799,-150.3432124403,-150.3432124403,-150.3432124403,0.0,0.0,0.0,1975.8207664178
1436227200000,2155.2837364992,1610.1050212489,2552.9205718551,2155.2837364992,2155.2837364992,-59.6681344267,-59.6681344267,-59.6681344267,1.9660244912,1.9660244912,1.9660244912,-61.6341589179,-61.6341589179,-61.6341589179,0.0,0.0,0.0,2095.6156020725
1436400000000,2156.5735428837,1589.1945579302,2612.4572028499,2156.5735428837,2156.5735428837,-43.4907643954,-43.4907643954,-43.4907643954,-25.8952416799,-25.8952416799,-25.8952416799,-17.5955227154,-17.5955227154,-17.5955227154,0.0,0.0,0.0,2113.0827784883
1436832000000,2159.7980588449,1745.4787393987,2722.5933574706,2159.7980588449,2159.7980588449,84.2872791241,84.2872791241,84.2872791241,1.9660244913,1.9660244913,1.9660244913,82.3212546328,82.3212546328,82.3212546328,0.0,0.0,0.0,2244.085337969
1436918400000,2160.4429620372,1651.6574270111,2725.7181431973,2160.4429620372,2160.4429620372,39.99572998,39.99572998,39.99572998,-57.2783446333,-57.2783446333,-57.2783446333,97.2740746134,97.2740746134,97.2740746134,0.0,0.0,0.0,2200.4386920172
1437004800000,2161.0878652294,1755.4486846852,2736.9301359399,2161.0878652294,2161.0878652294,83.9227133483,83.9227133483,83.9227133483,-25.89524168,-25.89524168,-25.89524168,109.8179550283,109.8179550283,109.8179550283,0.0,0.0,0.0,2245.0105785778
1437609600000,2165.6021875752,1748.8212294004,2732.7875369564,2165.6021875752,2165.6021875752,97.0305775029,97.0305775029,97.0305775029,-25.89524168,-25.89524168,-25.89524168,122.925819183,122.925819183,122.925819183,0.0,0.0,0.0,2262.6327650781
1437696000000,2166.2470907674,1795.8708229345,2751.7406141458,2166.2470907674,2166.2470907674,81.6547762672,81.6547762672,81.6547762672,-33.5526688244,-33.5526688244,-33.5526688244,115.2074450916,115.2074450916,115.2074450916,0.0,0.0,0.0,2247.9018670346
1437782400000,2166.8919939597,1785.6683241241,2727.0377346046,2166.8919939597,2166.8919939597,114.6415176663,114.6415176663,114.6415176663,8.8042494592,8.8042494592,8.8042494592,105.8372682071,105.8372682071,105.8372682071,0.0,0.0,0.0,2281.5335116259
1437955200000,2168.1818003441,1778.1093418848,2713.4441426037,2168.1818003441,2168.1818003441,89.1844564037,89.1844564037,89.1844564037,5.5330047004,5.5330047004,5.5330047004,83.6514517033,83.6514517033,83.6514517033,0.0,0.0,0.0,2257.3662567479
1438041600000,2168.8267035364,1764.9180531285,2763.0173697256,2168.8267035364,2168.8267035364,73.615270912,73.615270912,73.615270912,1.9660244912,1.9660244912,1.9660244912,71.6492464208,71.6492464208,71.6492464208,0.0,0.0,0.0,2242.4419744484
1438128000000,2169.4716067286,1727.4149681297,2692.3940508225,2169.4716067286,2169.4716067286,2.3207327192,2.3207327192,2.3207327192,-57.2783446334,-57.2783446334,-57.2783446334,59.5990773526,59.5990773526,59.5990773526,0.0,0.0,0.0,2171.7923394479
1438214400000,2170.1165099209,1696.6784803419,2648.6274838108,2170.1165099209,2170.1165099209,22.018734515,22.018734515,22.018734515,-25.8952416799,-25.8952416799,-25.8952416799,47.9139761949,47.9139761949,47.9139761949,0.0,0.0,0.0,2192.1352444359
1438300800000,2170.7614131131,1688.1112636101,2673.9076788557,2170.7614131131,2170.7614131131,3.435963827,3.435963827,3.435963827,-33.5526688246,-33.5526688246,-33.5526688246,36.9886326516,36.9886326516,36.9886326516,0.0,0.0,0.0,2174.1973769402
1438387200000,2171.4063163054,1734.622898556,2717.8981583959,2171.4063163054,2171.4063163054,35.9927577204,35.9927577204,35.9927577204,8.8042494592,8.8042494592,8.8042494592,27.1885082612,27.1885082612,27.1885082612,0.0,0.0,0.0,2207.3990740258
1438646400000,2173.3410258821,1674.0693701461,2674.8273049236,2173.3410258821,2173.3410258821,9.5200492588,9.5200492588,9.5200492588,1.9660244912,1.9660244912,1.9660244912,7.5540247676,7.5540247676,7.5540247676,0.0,0.0,0.0,2182.861075141
1438732800000,2173.9859290744,1598.5161231784,2607.7602033774,2173.9859290744,2173.9859290744,-52.2775025543,-52.2775025543,-52.2775025543,-57.2783446335,-57.2783446335,-57.2783446335,5.0008420792,5.0008420792,5.0008420792,0.0,0.0,0.0,2121.70842652
1438819200000,2174.6308322666,1654.6645671983,2652.5900440554,2174.6308322666,2174.6308322666,-21.2381603448,-21.2381603448,-21.2381603448,-25.8952416801,-25.8952416801,-25.8952416801,4.6570813353,4.6570813353,4.6570813353,0.0,0.0,0.0,2153.3926719218
1439251200000,2177.8553482278,1721.7411016813,2713.965712985,2177.8553482278,2177.8553482278,36.6925857032,36.6925857032,36.6925857032,1.9660244913,1.9660244913,1.9660244913,34.7265612118,34.7265612118,34.7265612118,0.0,0.0,0.0,2214.547933931
1439337600000,2178.5002514201,1677.4636766467,2639.1343236503,2178.5002514201,2178.5002514201,-11.3391019549,-11.3391019549,-11.3391019549,-57.2783446335,-57.2783446335,-57.2783446335,45.9392426786,45.9392426786,45.9392426786,0.0,0.0,0.0,2167.1611494652
1439424000000,2179.1451546123,1728.7288263031,2714.7067821917,2179.1451546123,2179.1451546123,32.349306529,32.349306529,32.349306529,-25.8952416799,-25.8952416799,-25.8952416799,58.244548209,58.244548209,58.244548209,0.0,0.0,0.0,2211.4944611414
1440115200000,2184.3043801503,1834.6634315899,2791.0391733599,2184.3043801503,2184.3043801503,117.4282605857,117.4282605857,117.4282605857,-33.5526688246,-33.5526688246,-33.5526688246,150.9809294103,150.9809294103,150.9809294103,0.0,0.0,0.0,2301.732640736
1440547200000,2187.5288961116,1830.7914160093,2763.1626636096,2187.5288961116,2187.5288961116,97.3993001839,97.3993001839,97.3993001839,-57.2783446334,-57.2783446334,-57.2783446334,154.6776448173,154.6776448173,154.6776448173,0.0,0.0,0.0,2284.9281962954
1440720000000,2188.818702496,1826.4201720124,2773.9563248719,2188.818702496,2188.818702496,105.5247837894,105.5247837894,105.5247837894,-33.5526688245,-33.5526688245,-33.5526688245,139.077452614,139.077452614,139.077452614,0.0,0.0,0.0,2294.3434862855
1441065600000,2191.398315265,1766.1083897607,2755.0945733001,2191.398315265,2191.398315265,85.9683269428,85.9683269428,85.9683269428,1.9660244913,1.9660244913,1.9660244913,84.0023024515,84.0023024515,84.0023024515,0.0,0.0,0.0,2277.3666422079
1441152000000,2192.0432184573,1690.6216712342,2693.2148629424,2192.0432184573,2192.0432184573,9.6062065151,9.6062065151,9.6062065151,-57.2783446335,-57.2783446335,-57.2783446335,66.8845511487,66.8845511487,66.8845511487,0.0,0.0,0.0,2201.6494249724
1441238400000,2192.6881216495,1748.6168369068,2697.2240760615,2192.6881216495,2192.6881216495,23.2261803357,23.2261803357,23.2261803357,-25.8952416801,-25.8952416801,-25.8952416801,49.1214220158,49.1214220158,49.1214220158,0.0,0.0,0.0,2215.9143019852
1441324800000,2193.3330248418,1744.2225745609,2685.7679133193,2193.3330248418,2193.3330248418,-2.4613981613,-2.4613981613,-2.4613981613,-33.5526688247,-33.5526688247,-33.5526688247,31.0912706634,31.0912706634,31.0912706634,0.0,0.0,0.0,2190.8716266804
1441584000000,2195.2677344185,1668.9138721766,2643.9858088471,2195.2677344185,2195.2677344185,-15.313762301,-15.313762301,-15.313762301,5.5330047004,5.5330047004,5.5330047004,-20.8467670014,-20.8467670014,-20.8467670014,0.0,0.0,0.0,2179.9539721175
1441843200000,2197.2024439953,1632.870638501,2590.6479791624,2197.2024439953,2197.2024439953,-88.3630417039,-88.3630417039,-88.3630417039,-25.8952416801,-25.8952416801,-25.8952416801,-62.4678000238,-62.4678000238,-62.4678000238,0.0,0.0,0.0,2108.8394022913
1442016000000,2198.4922503797,1674.7928439695,2593.5479510634,2198.4922503797,2198.4922503797,-72.2320097796,-72.2320097796,-72.2320097796,8.8042494593,8.8042494593,8.8042494593,-81.0362592389,-81.0362592389,-81.0362592389,0.0,0.0,0.0,2126.2602406002
1442188800000,2199.7820567642,1613.0983643848,2609.8192764878,2199.7820567642,2199.7820567642,-85.4330134803,-85.4330134803,-85.4330134803,5.5330047004,5.5330047004,5.5330047004,-90.9660181806,-90.9660181806,-90.9660181806,0.0,0.0,0.0,2114.349043284
1442361600000,2201.0718631487,1564.811956462,2542.2508118381,2201.0718631487,2201.0718631487,-149.405994119,-149.405994119,-149.405994119,-57.2783446335,-57.2783446335,-57.2783446335,-92.1276494855,-92.1276494855,-92.1276494855,0.0,0.0,0.0,2051.6658690297
1442448000000,2201.716766341,1595.3226791155,2560.4135895972,2201.716766341,2201.716766341,-115.5088132046,-115.5088132046,-115.5088132046,-25.8952416802,-25.8952416802,-25.8952416802,-89.6135715244,-89.6135715244,-89.6135715244,0.0,0.0,0.0,2086.2079531364
1442793600000,2204.29637911,1686.4440669381,2647.8677236637,2204.29637911,2204.29637911,-57.5480706452,-57.5480706452,-57.5480706452,5.5330047003,5.5330047003,5.5330047003,-63.0810753455,-63.0810753455,-63.0810753455,0.0,0.0,0.0,2146.7483084648
1442880000000,2204.9412823022,1648.8263784886,2621.5838162164,2204.9412823022,2204.9412823022,-51.5780811477,-51.5780811477,-51.5780811477,1.9660244912,1.9660244912,1.9660244912,-53.5441056389,-53.5441056389,-53.5441056389,0.0,0.0,0.0,2153.3632011545
1442966400000,2205.5861854945,1606.4092764027,2595.3832914334,2205.5861854945,2205.5861854945,-100.6755552993,-100.6755552993,-100.6755552993,-57.2783446333,-57.2783446333,-57.2783446333,-43.397210666,-43.397210666,-43.397210666,0.0,0.0,0.0,2104.9106301952
