ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434499200000,2.6257794,-5.4521523158,12.9861060615,2.6257794,2.6257794,0.7942852081,0.7942852081,0.7942852081,0.4814857405,0.4814857405,0.4814857405,0.3127994676,0.3127994676,0.3127994676,0.0,0.0,0.0,3.4200646081
1434931200000,2.6411440296,-5.5696249266,12.4242366094,2.6411440296,2.6411440296,0.6402575629,0.6402575629,0.6402575629,0.2825820498,0.2825820498,0.2825820498,0.3576755131,0.3576755131,0.3576755131,0.0,0.0,0.0,3.2814015925
1435017600000,2.6442169555,-6.7201781843,12.2457803101,2.6442169555,2.6442169555,0.6469746135,0.6469746135,0.6469746135,0.2384070926,0.2384070926,0.2384070926,0.4085675208,0.4085675208,0.4085675208,0.0,0.0,0.0,3.291191569
1435190400000,2.6503628073,-5.6591459997,12.5818562433,2.6503628073,2.6503628073,0.9285929543,0.9285929543,0.9285929543,0.38536638,0.38536638,0.38536638,0.5432265743,0.5432265743,0.5432265743,0.0,0.0,0.0,3.5789557616
1435276800000,2.6534357332,-5.9862443159,11.8566735583,2.6534357332,2.6534357332,0.4062345053,0.4062345053,0.4062345053,-0.2174693024,-0.2174693024,-0.2174693024,0.6237038077,0.6237038077,0.6237038077,0.0,0.0,0.0,3.0596702385
1435363200000,2.6565086592,-5.9962106657,12.5289101097,2.6565086592,2.6565086592,1.2389673011,1.2389673011,1.2389673011,0.5284562138,0.5284562138,0.5284562138,0.7105110873,0.7105110873,0.7105110873,0.0,0.0,0.0,3.8954759603
1435536000000,2.662654511,-5.252283002,13.2481867063,2.662654511,2.662654511,1.1779187938,1.1779187938,1.1779187938,0.2825820498,0.2825820498,0.2825820498,0.895336744,0.895336744,0.895336744,0.0,0.0,0.0,3.8405733048
1435622400000,2.6657274369,-5.2840590157,13.3563142471,2.6657274369,2.6657274369,1.2278420649,1.2278420649,1.2278420649,0.2384070926,0.2384070926,0.2384070926,0.9894349723,0.9894349723,0.9894349723,0.0,0.0,0.0,3.8935695018
1435708800000,2.6688003628,-5.3674626234,13.3006627279,2.6688003628,2.6688003628,1.5636003347,1.5636003347,1.5636003347,0.4814857405,0.4814857405,0.4814857405,1.0821145941,1.0821145941,1.0821145941,0.0,0.0,0.0,4.2324006975
1435795200000,2.6718732887,-5.1270580364,13.8374899422,2.6718732887,2.6718732887,1.5569523924,1.5569523924,1.5569523924,0.38536638,0.38536638,0.38536638,1.1715860124,1.1715860124,1.1715860124,0.0,0.0,0.0,4.2288256811
1436572800000,2.699529622,-4.2103906989,14.7407504398,2.699529622,2.699529622,2.1536171569,2.1536171569,2.1536171569,0.5284562138,0.5284562138,0.5284562138,1.6251609431,1.6251609431,1.6251609431,0.0,0.0,0.0,4.8531467789
