ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434499200000,2.6257794,-5.9176882521,12.9576054643,2.6257794,2.6257794,0.7942852081,0.7942852081,0.7942852081,0.4814857405,0.4814857405,0.4814857405,0.3127994676,0.3127994676,0.3127994676,0.0,0.0,0.0,3.4200646081
1434931200000,2.6411440296,-5.6212196086,12.7000975587,2.6411440296,2.6411440296,0.6402575629,0.6402575629,0.6402575629,0.2825820498,0.2825820498,0.2825820498,0.3576755131,0.3576755131,0.3576755131,0.0,0.0,0.0,3.2814015925
1435017600000,2.6442169555,-6.7494964803,12.7278400389,2.6442169555,2.6442169555,0.6469746135,0.6469746135,0.6469746135,0.2384070926,0.2384070926,0.2384070926,0.4085675208,0.4085675208,0.4085675208,0.0,0.0,0.0,3.291191569
1435190400000,2.6503628073,-5.8367390174,13.0671215821,2.6503628073,2.6503628073,0.9285929543,0.9285929543,0.9285929543,0.38536638,0.38536638,0.38536638,0.5432265743,0.5432265743,0.5432265743,0.0,0.0,0.0,3.5789557616
1435276800000,2.6534357332,-6.9813414992,12.2208982721,2.6534357332,2.6534357332,0.4062345053,0.4062345053,0.4062345053,-0.2174693024,-0.2174693024,-0.2174693024,0.6237038077,0.6237038077,0.6237038077,0.0,0.0,0.0,3.0596702385
1435363200000,2.6565086592,-6.0104820417,12.8085081622,2.6565086592,2.6565086592,1.2389673011,1.2389673011,1.2389673011,0.5284562138,0.5284562138,0.5284562138,0.7105110873,0.7105110873,0.7105110873,0.0,0.0,0.0,3.8954759603
1435536000000,2.662654511,-5.9804438828,13.7357272187,2.662654511,2.662654511,1.1779187938,1.1779187938,1.1779187938,0.2825820498,0.2825820498,0.2825820498,0.895336744,0.895336744,0.895336744,0.0,0.0,0.0,3.8405733048
1435622400000,2.6657274369,-5.2725806588,12.8401218186,2.6657274369,2.6657274369,1.2278420649,1.2278420649,1.2278420649,0.2384070926,0.2384070926,0.2384070926,0.9894349723,0.9894349723,0.9894349723,0.0,0.0,0.0,3.8935695018
1435708800000,2.6688003628,-4.9562345673,14.0306972022,2.6688003628,2.6688003628,1.5636003347,1.5636003347,1.5636003347,0.4814857405,0.4814857405,0.4814857405,1.0821145941,1.0821145941,1.0821145941,0.0,0.0,0.0,4.2324006975
1435795200000,2.6718732887,-5.5549902456,13.767937433,2.6718732887,2.6718732887,1.5569523924,1.5569523924,1.5569523924,0.38536638,0.38536638,0.38536638,1.1715860124,1.1715860124,1.1715860124,0.0,0.0,0.0,4.2288256811
1436572800000,2.699529622,-5.3778554061,13.7478533654,2.699529622,2.699529622,2.1536171569,2.1536171569,2.1536171569,0.5284562138,0.5284562138,0.5284562138,1.6251609431,1.6251609431,1.6251609431,0.0,0.0,0.0,4.8531467789
1436745600000,2.7056754738,-4.6824687857,14.0772832926,2.7056754738,2.7056754738,1.8981670324,1.8981670324,1.8981670324,0.2825820498,0.2825820498,0.2825820498,1.6155849825,1.6155849825,1.6155849825,0.0,0.0,0.0,4.6038425062
1436832000000,2.7087483997,-5.0565357386,13.5809847063,2.7087483997,2.7087483997,1.8349192393,1.8349192393,1.8349192393,0.2384070926,0.2384070926,0.2384070926,1.5965121467,1.5965121467,1.5965121467,0.0,0.0,0.0,4.543667639
1436918400000,2.7118213256,-3.5683813739,13.7307558819,2.7118213256,2.7118213256,2.0502894019,2.0502894019,2.0502894019,0.4814857405,0.4814857405,0.4814857405,1.5688036614,1.5688036614,1.5688036614,0.0,0.0,0.0,4.7621107275
