ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,1.742293,-2.3316364482,4.9854888264,1.742293,1.742293,-0.1592449801,-0.1592449801,-0.1592449801,0.1177168525,0.1177168525,0.1177168525,-0.2769618326,-0.2769618326,-0.2769618326,0.0,0.0,0.0,1.5830480199
1434931200000,1.7466637899,-2.0096236077,4.8634687534,1.7466637899,1.7466637899,-0.1752135145,-0.1752135145,-0.1752135145,0.0702603528,0.0702603528,0.0702603528,-0.2454738672,-0.2454738672,-0.2454738672,0.0,0.0,0.0,1.5714502755
1435017600000,1.7488491849,-1.9473160596,5.1828278002,1.7488491849,1.7488491849,-0.0984144466,-0.0984144466,-0.0984144466,0.1275601548,0.1275601548,0.1275601548,-0.2259746014,-0.2259746014,-0.2259746014,0.0,0.0,0.0,1.6504347383
1435104000000,1.7510345798,-1.8566555353,5.2338454288,1.7510345798,1.7510345798,-0.1045913086,-0.1045913086,-0.1045913086,0.0997017747,0.0997017747,0.0997017747,-0.2042930833,-0.2042930833,-0.2042930833,0.0,0.0,0.0,1.6464432712
1435190400000,1.7532199748,-1.9073537657,5.0431990694,1.7532199748,1.7532199748,-0.1372888716,-0.1372888716,-0.1372888716,0.043422506,0.043422506,0.043422506,-0.1807113776,-0.1807113776,-0.1807113776,0.0,0.0,0.0,1.6159311032
1435276800000,1.7554053697,-2.1002045343,5.1447163942,1.7554053697,1.7554053697,-0.1840635559,-0.1840635559,-0.1840635559,-0.0285256377,-0.0285256377,-0.0285256377,-0.1555379181,-0.1555379181,-0.1555379181,0.0,0.0,0.0,1.5713418139
1435363200000,1.7575907647,-2.0046471256,5.6164858087,1.7575907647,1.7575907647,-0.011384649,-0.011384649,-0.011384649,0.1177168525,0.1177168525,0.1177168525,-0.1291015015,-0.1291015015,-0.1291015015,0.0,0.0,0.0,1.7462061157
1435449600000,1.7597761597,-2.3077894265,4.8635936523,1.7597761597,1.7597761597,-0.531880921,-0.531880921,-0.531880921,-0.4301360031,-0.4301360031,-0.4301360031,-0.1017449179,-0.1017449179,-0.1017449179,0.0,0.0,0.0,1.2278952387
1435622400000,1.7641469496,-1.7291889523,5.4854501771,1.7641469496,1.7641469496,0.0818875363,0.0818875363,0.0818875363,0.1275601548,0.1275601548,0.1275601548,-0.0456726185,-0.0456726185,-0.0456726185,0.0,0.0,0.0,1.8460344859
1435708800000,1.7663323445,-1.5448851073,5.4107216357,1.7663323445,1.7663323445,0.0820492326,0.0820492326,0.0820492326,0.0997017747,0.0997017747,0.0997017747,-0.0176525421,-0.0176525421,-0.0176525421,0.0,0.0,0.0,1.8483815771
1435795200000,1.7685177395,-2.0986839986,5.5460569493,1.7685177395,1.7685177395,0.0533321958,0.0533321958,0.0533321958,0.043422506,0.043422506,0.043422506,0.0099096898,0.0099096898,0.0099096898,0.0,0.0,0.0,1.8218499352
1435968000000,1.7728885294,-1.4402717761,5.590974777,1.7728885294,1.7728885294,0.1801490629,0.1801490629,0.1801490629,0.1177168525,0.1177168525,0.1177168525,0.0624322104,0.0624322104,0.0624322104,0.0,0.0,0.0,1.9530375923
1436140800000,1.7772593193,-1.6438336217,5.4416661239,1.7772593193,1.7772593193,0.179978184,0.179978184,0.179978184,0.0702603528,0.0702603528,0.0702603528,0.1097178312,0.1097178312,0.1097178312,0.0,0.0,0.0,1.9572375033
1436227200000,1.7794447143,-1.7700014405,5.6656238895,1.7794447143,1.7794447143,0.258424542,0.258424542,0.258424542,0.1275601548,0.1275601548,0.1275601548,0.1308643872,0.1308643872,0.1308643872,0.0,0.0,0.0,2.0378692563
