ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,3.4853448,-0.655266125,8.7579331276,3.4853448,3.4853448,0.1729399878,0.1729399878,0.1729399878,0.1742441794,0.1742441794,0.1742441794,-0.0013041916,-0.0013041916,-0.0013041916,0.0,0.0,0.0,3.6582847878
1434931200000,3.4851301537,-1.2807246029,8.4354444349,3.4851301537,3.4851301537,0.0727254999,0.0727254999,0.0727254999,0.0947317055,0.0947317055,0.0947317055,-0.0220062056,-0.0220062056,-0.0220062056,0.0,0.0,0.0,3.5578556536
1435017600000,3.4850228305,-1.3226470169,8.2774776776,3.4850228305,3.4850228305,0.0807490269,0.0807490269,0.0807490269,0.1144298054,0.1144298054,0.1144298054,-0.0336807784,-0.0336807784,-0.0336807784,0.0,0.0,0.0,3.5657718575
1435104000000,3.4849155074,-1.246613424,8.4457881542,3.4849155074,3.4849155074,0.1308651901,0.1308651901,0.1308651901,0.1765246662,0.1765246662,0.1765246662,-0.0456594761,-0.0456594761,-0.0456594761,0.0,0.0,0.0,3.6157806975
1435190400000,3.4848081842,-1.2871426822,8.2758491638,3.4848081842,3.4848081842,-0.0354142198,-0.0354142198,-0.0354142198,0.0220818,0.0220818,0.0220818,-0.0574960198,-0.0574960198,-0.0574960198,0.0,0.0,0.0,3.4493939644
1435276800000,3.4847008611,-1.615950347,8.206819495,3.4847008611,3.4847008611,-0.1606965526,-0.1606965526,-0.1606965526,-0.0919453269,-0.0919453269,-0.0919453269,-0.0687512257,-0.0687512257,-0.0687512257,0.0,0.0,0.0,3.3240043085
1435363200000,3.4845935379,-1.1347754021,8.3055667654,3.4845935379,3.4845935379,0.0952369821,0.0952369821,0.0952369821,0.1742441794,0.1742441794,0.1742441794,-0.0790071973,-0.0790071973,-0.0790071973,0.0,0.0,0.0,3.57983052
1435449600000,3.4844862148,-1.8632819716,7.8618519367,3.4844862148,3.4844862148,-0.577947759,-0.577947759,-0.577947759,-0.4900668296,-0.4900668296,-0.4900668296,-0.0878809294,-0.0878809294,-0.0878809294,0.0,0.0,0.0,2.9065384558
1435536000000,3.4843788916,-1.5034546575,8.4900631479,3.4843788916,3.4843788916,-0.0003051995,-0.0003051995,-0.0003051995,0.0947317055,0.0947317055,0.0947317055,-0.095036905,-0.095036905,-0.095036905,0.0,0.0,0.0,3.4840736921
1435622400000,3.4842715684,-1.0614706641,8.3234074736,3.4842715684,3.4842715684,0.0142315101,0.0142315101,0.0142315101,0.1144298054,0.1144298054,0.1144298054,-0.1001982953,-0.1001982953,-0.1001982953,0.0,0.0,0.0,3.4985030786
1435708800000,3.4841642453,-1.430329398,8.1545869169,3.4841642453,3.4841642453,0.0733682536,0.0733682536,0.0733682536,0.1765246662,0.1765246662,0.1765246662,-0.1031564126,-0.1031564126,-0.1031564126,0.0,0.0,0.0,3.5575324989
1435795200000,3.4840569221,-1.4567048391,8.1768040679,3.4840569221,3.4840569221,-0.0816963118,-0.0816963118,-0.0816963118,0.0220818,0.0220818,0.0220818,-0.1037781118,-0.1037781118,-0.1037781118,0.0,0.0,0.0,3.4023606104
1435968000000,3.4838422758,-1.4467527276,8.3337685645,3.4838422758,3.4838422758,0.076358628,0.076358628,0.076358628,0.1742441794,0.1742441794,0.1742441794,-0.0978855514,-0.0978855514,-0.0978855514,0.0,0.0,0.0,3.5602009038
