ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,1256.817714,72.1435555838,2182.7648622806,1256.817714,1256.817714,-89.4122636809,-89.4122636809,-89.4122636809,39.2298893112,39.2298893112,39.2298893112,-128.6421529921,-128.6421529921,-128.6421529921,0.0,0.0,0.0,1167.4054503191
1434931200000,1257.0761288388,12.7978642039,2183.1134076317,1257.0761288388,1257.0761288388,-162.341148616,-162.341148616,-162.341148616,-22.1725289415,-22.1725289415,-22.1725289415,-140.1686196745,-140.1686196745,-140.1686196745,0.0,0.0,0.0,1094.7349802228
1435017600000,1257.2053362582,54.547748625,2198.2189541528,1257.2053362582,1257.2053362582,-142.3645781847,-142.3645781847,-142.3645781847,1.0675384957,1.0675384957,1.0675384957,-143.4321166805,-143.4321166805,-143.4321166805,0.0,0.0,0.0,1114.8407580735
1435104000000,1257.3345436776,-96.3213681533,2120.0081619259,1257.3345436776,1257.3345436776,-184.8740298051,-184.8740298051,-184.8740298051,-40.168678378,-40.168678378,-40.168678378,-144.7053514271,-144.7053514271,-144.7053514271,0.0,0.0,0.0,1072.4605138725
1435190400000,1257.463751097,-11.7975016517,2218.6792690945,1257.463751097,1257.463751097,-170.3240278798,-170.3240278798,-170.3240278798,-26.52104102,-26.52104102,-26.52104102,-143.8029868598,-143.8029868598,-143.8029868598,0.0,0.0,0.0,1087.1397232172
1435276800000,1257.5929585164,-40.0489669881,2168.3002470548,1257.5929585164,1257.5929585164,-154.6454006754,-154.6454006754,-154.6454006754,-14.0540017807,-14.0540017807,-14.0540017807,-140.5913988947,-140.5913988947,-140.5913988947,0.0,0.0,0.0,1102.947557841
1435363200000,1257.7221659358,8.3828958092,2218.6862217156,1257.7221659358,1257.7221659358,-95.7620742728,-95.7620742728,-95.7620742728,39.2298893113,39.2298893113,39.2298893113,-134.9919635841,-134.9919635841,-134.9919635841,0.0,0.0,0.0,1161.960091663
1435449600000,1257.8513733552,108.7702894473,2247.1424594309,1257.8513733552,1257.8513733552,-64.3641659853,-64.3641659853,-64.3641659853,62.6188223132,62.6188223132,62.6188223132,-126.9829882985,-126.9829882985,-126.9829882985,0.0,0.0,0.0,1193.4872073699
1435536000000,1257.9805807746,102.2079993973,2192.4227156813,1257.9805807746,1257.9805807746,-138.7727775583,-138.7727775583,-138.7727775583,-22.1725289415,-22.1725289415,-22.1725289415,-116.6002486168,-116.6002486168,-116.6002486168,0.0,0.0,0.0,1119.2078032163
1435622400000,1258.109788194,52.1624525896,2318.6470364636,1258.109788194,1258.109788194,-102.8685893309,-102.8685893309,-102.8685893309,1.0675384957,1.0675384957,1.0675384957,-103.9361278266,-103.9361278266,-103.9361278266,0.0,0.0,0.0,1155.2411988631
1435708800000,1258.2389956134,71.7250552115,2198.5178313197,1258.2389956134,1258.2389956134,-129.3060692565,-129.3060692565,-129.3060692565,-40.1686783779,-40.1686783779,-40.1686783779,-89.1373908786,-89.1373908786,-89.1373908786,0.0,0.0,0.0,1128.9329263569
1435795200000,1258.3682030328,80.5146995103,2230.2511879516,1258.3682030328,1258.3682030328,-98.9226994474,-98.9226994474,-98.9226994474,-26.5210410199,-26.5210410199,-26.5210410199,-72.4016584275,-72.4016584275,-72.4016584275,0.0,0.0,0.0,1159.4455035854
1435968000000,1258.6266178716,188.2243184516,2357.4407713696,1258.6266178716,1258.6266178716,5.0953682283,5.0953682283,5.0953682283,39.2298893111,39.2298893111,39.2298893111,-34.1345210828,-34.1345210828,-34.1345210828,0.0,0.0,0.0,1263.7219860999
1436140800000,1258.8850327104,135.162394647,2248.3264663285,1258.8850327104,1258.8850327104,-13.6999723636,-13.6999723636,-13.6999723636,-22.1725289415,-22.1725289415,-22.1725289415,8.4725565779,8.4725565779,8.4725565779,0.0,0.0,0.0,1245.1850603468
1436227200000,1259.0142401298,246.1087196071,2288.6497078514,1259.0142401298,1259.0142401298,31.603391229,31.603391229,31.603391229,1.0675384957,1.0675384957,1.0675384957,30.5358527333,30.5358527333,30.5358527333,0.0,0.0,0.0,1290.6176313588
1436400000000,1259.2726549686,206.2988140048,2347.6177177804,1259.2726549686,1259.2726549686,47.8118980424,47.8118980424,47.8118980424,-26.5210410199,-26.5210410199,-26.5210410199,74.3329390624,74.3329390624,74.3329390624,0.0,0.0,0.0,1307.084553011
