ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,1257.431718,72.8467455085,2253.6696006012,1257.431718,1257.431718,-88.1350113654,-88.1350113654,-88.1350113654,39.7329835996,39.7329835996,39.7329835996,-127.867994965,-127.867994965,-127.867994965,0.0,0.0,0.0,1169.2967066346
1434931200000,1257.6742031327,84.7763896499,2097.2380088836,1257.6742031327,1257.6742031327,-161.7203182975,-161.7203182975,-161.7203182975,-22.2589745519,-22.2589745519,-22.2589745519,-139.4613437456,-139.4613437456,-139.4613437456,0.0,0.0,0.0,1095.9538848352
1435017600000,1257.795445699,40.3715010853,2154.7756583313,1257.795445699,1257.795445699,-141.651970104,-141.651970104,-141.651970104,1.1049394185,1.1049394185,1.1049394185,-142.7569095225,-142.7569095225,-142.7569095225,0.0,0.0,0.0,1116.143475595
1435104000000,1257.9166882653,-74.2079093332,2101.7262333833,1257.9166882653,1257.9166882653,-183.8606006576,-183.8606006576,-183.8606006576,-39.8018046166,-39.8018046166,-39.8018046166,-144.058796041,-144.058796041,-144.058796041,0.0,0.0,0.0,1074.0560876077
1435190400000,1258.0379308316,4.3341476714,2132.0986745927,1258.0379308316,1258.0379308316,-169.6302751353,-169.6302751353,-169.6302751353,-26.45005354,-26.45005354,-26.45005354,-143.1802215953,-143.1802215953,-143.1802215953,0.0,0.0,0.0,1088.4076556963
1435276800000,1258.159173398,47.770045467,2232.2554768572,1258.159173398,1258.159173398,-154.090325377,-154.090325377,-154.090325377,-14.1038306062,-14.1038306062,-14.1038306062,-139.9864947708,-139.9864947708,-139.9864947708,0.0,0.0,0.0,1104.0688480209
1435363200000,1258.2804159643,202.9286139304,2263.3936211784,1258.2804159643,1258.2804159643,-94.6653288055,-94.6653288055,-94.6653288055,39.7329835998,39.7329835998,39.7329835998,-134.3983124053,-134.3983124053,-134.3983124053,0.0,0.0,0.0,1163.6150871588
1435449600000,1258.4016585306,222.6957096129,2215.9834007925,1258.4016585306,1258.4016585306,-64.6169478583,-64.6169478583,-64.6169478583,61.7767402965,61.7767402965,61.7767402965,-126.3936881548,-126.3936881548,-126.3936881548,0.0,0.0,0.0,1193.7847106723
1435536000000,1258.5229010969,70.0547949267,2131.8919902393,1258.5229010969,1258.5229010969,-138.2674483891,-138.2674483891,-138.2674483891,-22.2589745518,-22.2589745518,-22.2589745518,-116.0084738372,-116.0084738372,-116.0084738372,0.0,0.0,0.0,1120.2554527079
1435622400000,1258.6441436633,143.9856322856,2263.6795299866,1258.6441436633,1258.6441436633,-102.2305319155,-102.2305319155,-102.2305319155,1.1049394185,1.1049394185,1.1049394185,-103.3354713341,-103.3354713341,-103.3354713341,0.0,0.0,0.0,1156.4136117477
1435708800000,1258.7653862296,64.0967738249,2201.7510867981,1258.7653862296,1258.7653862296,-128.3239727528,-128.3239727528,-128.3239727528,-39.8018046166,-39.8018046166,-39.8018046166,-88.5221681362,-88.5221681362,-88.5221681362,0.0,0.0,0.0,1130.4414134768
1435795200000,1258.8866287959,142.7439472001,2251.9826769128,1258.8866287959,1258.8866287959,-98.2172172646,-98.2172172646,-98.2172172646,-26.4500535399,-26.4500535399,-26.4500535399,-71.7671637247,-71.7671637247,-71.7671637247,0.0,0.0,0.0,1160.6694115313
1435968000000,1259.1291139286,194.8423410455,2343.6733804955,1259.1291139286,1259.1291139286,6.2807574854,6.2807574854,6.2807574854,39.7329835995,39.7329835995,39.7329835995,-33.4522261141,-33.4522261141,-33.4522261141,0.0,0.0,0.0,1265.409871414
1436140800000,1259.3715990612,196.0090207781,2269.9565197766,1259.3715990612,1259.3715990612,-13.0531058518,-13.0531058518,-13.0531058518,-22.2589745518,-22.2589745518,-22.2589745518,9.2058687,9.2058687,9.2058687,0.0,0.0,0.0,1246.3184932094
1436227200000,1259.4928416275,213.6414132682,2387.7023272969,1259.4928416275,1259.4928416275,32.39735031,32.39735031,32.39735031,1.1049394185,1.1049394185,1.1049394185,31.2924108915,31.2924108915,31.2924108915,0.0,0.0,0.0,1291.8901919375
1436400000000,1259.7353267602,262.9839502895,2446.0355259274,1259.7353267602,1259.7353267602,48.6752299459,48.6752299459,48.6752299459,-26.4500535399,-26.4500535399,-26.4500535399,75.1252834859,75.1252834859,75.1252834859,0.0,0.0,0.0,1308.4105567061
1436486400000,1259.8565693265,291.1413672373,2381.5077776764,1259.8565693265,1259.8565693265,82.0279682848,82.0279682848,82.0279682848,-14.1038306062,-14.1038306062,-14.1038306062,96.131798891,96.131798891,96.131798891,0.0,0.0,0.0,1341.8845376113
1436572800000,1259.9778118928,401.7834859545,2504.5874097734,1259.9778118928,1259.9778118928,155.792421467,155.792421467,155.792421467,39.7329835997,39.7329835997,39.7329835997,116.0594378673,116.0594378673,116.0594378673,0.0,0.0,0.0,1415.7702333598
1436745600000,1260.2202970255,339.6004155665,2513.141488476,1260.2202970255,1260.2202970255,129.1438328915,129.1438328915,129.1438328915,-22.2589745518,-22.2589745518,-22.2589745518,151.4028074433,151.4028074433,151.4028074433,0.0,0.0,0.0,1389.364129917
1436832000000,1260.3415395918,407.3057078067,2428.4735594626,1260.3415395918,1260.3415395918,167.3693375682,167.3693375682,167.3693375682,1.1049394185,1.1049394185,1.1049394185,166.2643981497,166.2643981497,166.2643981497,0.0,0.0,0.0,1427.71087716
1436918400000,1260.4627821581,347.1196671579,2494.5327273124,1260.4627821581,1260.4627821581,139.1487861115,139.1487861115,139.1487861115,-39.8018046165,-39.8018046165,-39.8018046165,178.950590728,178.950590728,178.950590728,0.0,0.0,0.0,1399.6115682696
1437004800000,1260.5840247245,361.9264757083,2489.4998062032,1260.5840247245,1260.5840247245,162.8424375015,162.8424375015,162.8424375015,-26.45005354,-26.45005354,-26.45005354,189.2924910415,189.2924910415,189.2924910415,0.0,0.0,0.0,1423.426462226
1437609600000,1261.4327226887,279.3408379128,2500.1469386133,1261.4327226887,1261.4327226887,166.1775991257,166.1775991257,166.1775991257,-26.45005354,-26.45005354,-26.45005354,192.6276526657,192.6276526657,192.6276526657,0.0,0.0,0.0,1427.6103218144
1437696000000,1261.5539652551,343.5872432564,2558.0586374414,1261.5539652551,1261.5539652551,170.155705232,170.155705232,170.155705232,-14.1038306062,-14.1038306062,-14.1038306062,184.2595358381,184.2595358381,184.2595358381,0.0,0.0,0.0,1431.709670487
1437782400000,1261.6752078214,413.2774238057,2525.2686274819,1261.6752078214,1261.6752078214,214.0011270535,214.0011270535,214.0011270535,39.7329835997,39.7329835997,39.7329835997,174.2681434538,174.2681434538,174.2681434538,0.0,0.0,0.0,1475.6763348749
1437955200000,1261.917692954,348.1508572947,2447.3226346291,1261.917692954,1261.917692954,128.3023515746,128.3023515746,128.3023515746,-22.2589745518,-22.2589745518,-22.2589745518,150.5613261265,150.5613261265,150.5613261265,0.0,0.0,0.0,1390.2200445287
1438041600000,1262.0389355204,343.035604531,2397.3418470847,1262.0389355204,1262.0389355204,138.5683559524,138.5683559524,138.5683559524,1.1049394185,1.1049394185,1.1049394185,137.4634165339,137.4634165339,137.4634165339,0.0,0.0,0.0,1400.6072914728
1438128000000,1262.1601780867,216.3982209309,2426.6755658908,1262.1601780867,1262.1601780867,84.1612515822,84.1612515822,84.1612515822,-39.8018046166,-39.8018046166,-39.8018046166,123.9630561988,123.9630561988,123.9630561988,0.0,0.0,0.0,1346.3214296689
1438214400000,1262.281420653,235.8946687251,2446.06565402,1262.281420653,1262.281420653,83.9315296253,83.9315296253,83.9315296253,-26.4500535399,-26.4500535399,-26.4500535399,110.3815831652,110.3815831652,110.3815831652,0.0,0.0,0.0,1346.2129502783
1438300800000,1262.4026632193,286.1476993693,2383.8029876368,1262.4026632193,1262.4026632193,82.9288724467,82.9288724467,82.9288724467,-14.1038306063,-14.1038306063,-14.1038306063,97.0327030531,97.0327030531,97.0327030531,0.0,0.0,0.0,1345.331535666
1438387200000,1262.5239057857,350.8744085515,2556.7105556512,1262.5239057857,1262.5239057857,123.9488834901,123.9488834901,123.9488834901,39.7329835997,39.7329835997,39.7329835997,84.2158998904,84.2158998904,84.2158998904,0.0,0.0,0.0,1386.4727892758
1438560000000,1262.7663909183,204.6336702571,2392.8218111545,1262.7663909183,1262.7663909183,39.0104681593,39.0104681593,39.0104681593,-22.2589745518,-22.2589745518,-22.2589745518,61.2694427111,61.2694427111,61.2694427111,0.0,0.0,0.0,1301.7768590776
1438646400000,1262.8876334846,221.1947723571,2424.7605545325,1262.8876334846,1262.8876334846,52.7210288191,52.7210288191,52.7210288191,1.1049394185,1.1049394185,1.1049394185,51.6160894006,51.6160894006,51.6160894006,0.0,0.0,0.0,1315.6086623037
1438732800000,1263.008876051,180.5805847968,2299.7224000093,1263.008876051,1263.008876051,3.6369829449,3.6369829449,3.6369829449,-39.8018046166,-39.8018046166,-39.8018046166,43.4387875615,43.4387875615,43.4387875615,0.0,0.0,0.0,1266.6458589958
1438819200000,1263.1301186173,194.3011326628,2379.7429385195,1263.1301186173,1263.1301186173,10.4385722936,10.4385722936,10.4385722936,-26.4500535401,-26.4500535401,-26.4500535401,36.8886258336,36.8886258336,36.8886258336,0.0,0.0,0.0,1273.5686909109
1438905600000,1263.2513611836,206.8836882444,2311.9885902855,1263.2513611836,1263.2513611836,17.9733680807,17.9733680807,17.9733680807,-14.1038306061,-14.1038306061,-14.1038306061,32.0771986868,32.0771986868,32.0771986868,0.0,0.0,0.0,1281.2247292643
1438992000000,1263.3726037499,324.5502691072,2348.6820414813,1263.3726037499,1263.3726037499,68.8084559446,68.8084559446,68.8084559446,39.7329835997,39.7329835997,39.7329835997,29.0754723448,29.0754723448,29.0754723448,0.0,0.0,0.0,1332.1810596945
1439164800000,1263.6150888826,136.8039854614,2389.6807623642,1263.6150888826,1263.6150888826,6.3226295256,6.3226295256,6.3226295256,-22.2589745517,-22.2589745517,-22.2589745517,28.5816040773,28.5816040773,28.5816040773,0.0,0.0,0.0,1269.9377184082
1439251200000,1263.7363314489,154.7430536089,2420.1360594224,1263.7363314489,1263.7363314489,32.1359759292,32.1359759292,32.1359759292,1.1049394185,1.1049394185,1.1049394185,31.0310365106,31.0310365106,31.0310365106,0.0,0.0,0.0,1295.8723073781
1439337600000,1263.8575740152,115.9360646892,2308.7387284418,1263.8575740152,1263.8575740152,-4.6245240429,-4.6245240429,-4.6245240429,-39.8018046166,-39.8018046166,-39.8018046166,35.1772805737,35.1772805737,35.1772805737,0.0,0.0,0.0,1259.2330499723
1439424000000,1263.9788165816,131.834528778,2374.0779718551,1263.9788165816,1263.9788165816,14.4526232868,14.4526232868,14.4526232868,-26.45005354,-26.45005354,-26.45005354,40.9026768267,40.9026768267,40.9026768267,0.0,0.0,0.0,1278.4314398683
1439596800000,1264.2213017142,233.5016132565,2415.9055527308,1264.2213017142,1264.2213017142,96.2107093282,96.2107093282,96.2107093282,39.7329835997,39.7329835997,39.7329835997,56.4777257285,56.4777257285,56.4777257285,0.0,0.0,0.0,1360.4320110424
1439856000000,1264.5850294132,247.741371951,2406.1107576648,1264.5850294132,1264.5850294132,88.394051575,88.394051575,88.394051575,1.1049394185,1.1049394185,1.1049394185,87.2891121565,87.2891121565,87.2891121565,0.0,0.0,0.0,1352.9790809881
1439942400000,1264.7062719795,201.3805402583,2408.2692892414,1264.7062719795,1264.7062719795,58.8850506751,58.8850506751,58.8850506751,-39.8018046166,-39.8018046166,-39.8018046166,98.6868552917,98.6868552917,98.6868552917,0.0,0.0,0.0,1323.5913226546
1440028800000,1264.8275145458,219.1636264735,2497.5197155553,1264.8275145458,1264.8275145458,83.8234207543,83.8234207543,83.8234207543,-26.4500535401,-26.4500535401,-26.4500535401,110.2734742945,110.2734742945,110.2734742945,0.0,0.0,0.0,1348.6509353002
1440115200000,1264.9487571122,334.8756056635,2432.7843594521,1264.9487571122,1264.9487571122,107.723260903,107.723260903,107.723260903,-14.1038306064,-14.1038306064,-14.1038306064,121.8270915094,121.8270915094,121.8270915094,0.0,0.0,0.0,1372.6720180151
1440201600000,1265.0699996785,360.7129990106,2548.4515194289,1265.0699996785,1265.0699996785,172.8671078488,172.8671078488,172.8671078488,39.7329835998,39.7329835998,39.7329835998,133.134124249,133.134124249,133.134124249,0.0,0.0,0.0,1437.9371075273
1440374400000,1265.3124848111,333.7452601413,2431.9158144894,1265.3124848111,1265.3124848111,131.9603150385,131.9603150385,131.9603150385,-22.2589745518,-22.2589745518,-22.2589745518,154.2192895903,154.2192895903,154.2192895903,0.0,0.0,0.0,1397.2727998496
1440460800000,1265.4337273775,433.0503038093,2510.3674171048,1265.4337273775,1265.4337273775,164.7505884993,164.7505884993,164.7505884993,1.1049394185,1.1049394185,1.1049394185,163.6456490808,163.6456490808,163.6456490808,0.0,0.0,0.0,1430.1843158768
1440547200000,1265.5549699438,344.7292945447,2463.0863437845,1265.5549699438,1265.5549699438,132.3256463829,132.3256463829,132.3256463829,-39.8018046166,-39.8018046166,-39.8018046166,172.1274509995,172.1274509995,172.1274509995,0.0,0.0,0.0,1397.8806163267
1440633600000,1265.6762125101,429.1851701214,2519.9433044623,1265.6762125101,1265.6762125101,153.0931044495,153.0931044495,153.0931044495,-26.45005354,-26.45005354,-26.45005354,179.5431579896,179.5431579896,179.5431579896,0.0,0.0,0.0,1418.7693169597
1440720000000,1265.7974550764,327.8870619617,2534.3486230543,1265.7974550764,1265.7974550764,171.6921511028,171.6921511028,171.6921511028,-14.1038306063,-14.1038306063,-14.1038306063,185.7959817092,185.7959817092,185.7959817092,0.0,0.0,0.0,1437.4896061793
1440806400000,1265.9186976428,516.3744737646,2508.7940852689,1265.9186976428,1265.9186976428,230.5476308012,230.5476308012,230.5476308012,39.7329835996,39.7329835996,39.7329835996,190.8146472015,190.8146472015,190.8146472015,0.0,0.0,0.0,1496.4663284439
1440979200000,1266.1611827754,311.321688463,2550.3626946353,1266.1611827754,1266.1611827754,174.7336619372,174.7336619372,174.7336619372,-22.2589745519,-22.2589745519,-22.2589745519,196.9926364891,196.9926364891,196.9926364891,0.0,0.0,0.0,1440.8948447126
1441065600000,1266.2824253417,378.1572740591,2570.9569248329,1266.2824253417,1266.2824253417,199.2410873048,199.2410873048,199.2410873048,1.1049394185,1.1049394185,1.1049394185,198.1361478863,198.1361478863,198.1361478863,0.0,0.0,0.0,1465.5235126465
1441152000000,1266.4036679081,425.0149675298,2511.6213933956,1266.4036679081,1266.4036679081,158.2099739104,158.2099739104,158.2099739104,-39.8018046167,-39.8018046167,-39.8018046167,198.0117785271,198.0117785271,198.0117785271,0.0,0.0,0.0,1424.6136418185
1441238400000,1266.5249104744,428.9712954817,2552.8232632472,1266.5249104744,1266.5249104744,170.2187505353,170.2187505353,170.2187505353,-26.4500535401,-26.4500535401,-26.4500535401,196.6688040754,196.6688040754,196.6688040754,0.0,0.0,0.0,1436.7436610097
1441324800000,1266.6461530407,357.5262394616,2388.0046716011,1266.6461530407,1266.6461530407,180.0723110344,180.0723110344,180.0723110344,-14.1038306064,-14.1038306064,-14.1038306064,194.1761416408,194.1761416408,194.1761416408,0.0,0.0,0.0,1446.7184640751
1441411200000,1266.7673947451,472.7096874197,2582.6458051486,1266.7673947451,1266.7673947451,230.3530894484,230.3530894484,230.3530894484,39.7329835998,39.7329835998,39.7329835998,190.6201058486,190.6201058486,190.6201058486,0.0,0.0,0.0,1497.1204841934
1441497600000,1266.8886364494,479.4851906465,2607.2062636312,1266.8886364494,1266.8886364494,247.878709155,247.878709155,247.878709155,61.7767402966,61.7767402966,61.7767402966,186.1019688584,186.1019688584,186.1019688584,0.0,0.0,0.0,1514.7673456044
1441584000000,1267.0098781537,383.8740195065,2480.784290335,1267.0098781537,1267.0098781537,158.4764139471,158.4764139471,158.4764139471,-22.2589745518,-22.2589745518,-22.2589745518,180.7353884989,180.7353884989,180.7353884989,0.0,0.0,0.0,1425.4862921008
1441670400000,1267.1311198581,367.9215734803,2536.4493797889,1267.1311198581,1267.1311198581,175.7487055037,175.7487055037,175.7487055037,1.1049394185,1.1049394185,1.1049394185,174.6437660852,174.6437660852,174.6437660852,0.0,0.0,0.0,1442.8798253618
1441756800000,1267.2523615624,368.76062546,2498.2633678531,1267.2523615624,1267.2523615624,128.1557868319,128.1557868319,128.1557868319,-39.8018046165,-39.8018046165,-39.8018046165,167.9575914484,167.9575914484,167.9575914484,0.0,0.0,0.0,1395.4081483943
1441843200000,1267.3736032668,357.882684517,2438.565940216,1267.3736032668,1267.3736032668,134.3617739386,134.3617739386,134.3617739386,-26.4500535401,-26.4500535401,-26.4500535401,160.8118274787,160.8118274787,160.8118274787,0.0,0.0,0.0,1401.7353772054
1441929600000,1267.4948449711,326.9254281998,2361.3891676139,1267.4948449711,1267.4948449711,139.2395497329,139.2395497329,139.2395497329,-14.1038306062,-14.1038306062,-14.1038306062,153.3433803391,153.3433803391,153.3433803391,0.0,0.0,0.0,1406.7343947041
1442016000000,1267.6160866755,396.7428516075,2488.4397799053,1267.6160866755,1267.6160866755,185.4216783265,185.4216783265,185.4216783265,39.7329835998,39.7329835998,39.7329835998,145.6886947267,145.6886947267,145.6886947267,0.0,0.0,0.0,1453.037765002
1442102400000,1267.7373283798,372.8716521474,2494.966737596,1267.7373283798,1267.7373283798,199.7582467264,199.7582467264,199.7582467264,61.7767402965,61.7767402965,61.7767402965,137.9815064298,137.9815064298,137.9815064298,0.0,0.0,0.0,1467.4955751062
1442188800000,1267.8585700842,295.290874181,2492.9384439326,1267.8585700842,1267.8585700842,108.0918026818,108.0918026818,108.0918026818,-22.2589745518,-22.2589745518,-22.2589745518,130.3507772336,130.3507772336,130.3507772336,0.0,0.0,0.0,1375.950372766
1442275200000,1267.9798117885,242.9577917119,2493.0579439625,1267.9798117885,1267.9798117885,124.0237696382,124.0237696382,124.0237696382,1.1049394186,1.1049394186,1.1049394186,122.9188302197,122.9188302197,122.9188302197,0.0,0.0,0.0,1392.0035814268
1442361600000,1268.1010534929,277.8917259827,2471.3827350444,1268.1010534929,1268.1010534929,75.9978923084,75.9978923084,75.9978923084,-39.8018046166,-39.8018046166,-39.8018046166,115.799696925,115.799696925,115.799696925,0.0,0.0,0.0,1344.0989458013
1442448000000,1268.2222951972,223.5090972059,2395.6163402363,1268.2222951972,1268.2222951972,82.6476283297,82.6476283297,82.6476283297,-26.4500535401,-26.4500535401,-26.4500535401,109.0976818698,109.0976818698,109.0976818698,0.0,0.0,0.0,1350.869923527
1442534400000,1268.3435369016,300.2982006968,2383.9186663952,1268.3435369016,1268.3435369016,88.8023141903,88.8023141903,88.8023141903,-14.1038306063,-14.1038306063,-14.1038306063,102.9061447967,102.9061447967,102.9061447967,0.0,0.0,0.0,1357.1458510919
1442620800000,1268.4647786059,321.0991425678,2471.6655252832,1268.4647786059,1268.4647786059,137.0394802993,137.0394802993,137.0394802993,39.7329835998,39.7329835998,39.7329835998,97.3064966995,97.3064966995,97.3064966995,0.0,0.0,0.0,1405.5042589052
1442793600000,1268.7072620146,279.9383437439,2418.8593457027,1268.7072620146,1268.7072620146,65.8852058336,65.8852058336,65.8852058336,-22.2589745519,-22.2589745519,-22.2589745519,88.1441803854,88.1441803854,88.1441803854,0.0,0.0,0.0,1334.5924678482
1442880000000,1268.828503719,309.8094481804,2458.7619247589,1268.828503719,1268.828503719,85.7833278614,85.7833278614,85.7833278614,1.1049394185,1.1049394185,1.1049394185,84.6783884429,84.6783884429,84.6783884429,0.0,0.0,0.0,1354.6118315804
1442966400000,1268.9497454233,222.167045701,2456.1700043825,1268.9497454233,1268.9497454233,42.1957803251,42.1957803251,42.1957803251,-39.8018046165,-39.8018046165,-39.8018046165,81.9975849416,81.9975849416,81.9975849416,0.0,0.0,0.0,1311.1455257484
1443052800000,1269.0709871277,256.4923754888,2431.4199256295,1269.0709871277,1269.0709871277,53.6652003186,53.6652003186,53.6652003186,-26.45005354,-26.45005354,-26.45005354,80.1152538586,80.1152538586,80.1152538586,0.0,0.0,0.0,1322.7361874463
1443398400000,1269.5559539451,238.3698957265,2366.6320376216,1269.5559539451,1269.5559539451,58.0972605749,58.0972605749,58.0972605749,-22.2589745518,-22.2589745518,-22.2589745518,80.3562351267,80.3562351267,80.3562351267,0.0,0.0,0.0,1327.6532145199
1443484800000,1269.6771956494,263.3048879411,2382.3055444473,1269.6771956494,1269.6771956494,83.2944637092,83.2944637092,83.2944637092,1.1049394185,1.1049394185,1.1049394185,82.1895242906,82.1895242906,82.1895242906,0.0,0.0,0.0,1352.9716593586
1443571200000,1269.7984373538,280.6664909146,2353.4136237666,1269.7984373538,1269.7984373538,44.8192195486,44.8192195486,44.8192195486,-39.8018046166,-39.8018046166,-39.8018046166,84.6210241652,84.6210241652,84.6210241652,0.0,0.0,0.0,1314.6176569023
1443657600000,1269.9196790581,271.2472616894,2403.860044229,1269.9196790581,1269.9196790581,61.1257288954,61.1257288954,61.1257288954,-26.45005354,-26.45005354,-26.45005354,87.5757824355,87.5757824355,87.5757824355,0.0,0.0,0.0,1331.0454079535
1443744000000,1270.0409207625,287.7014713039,2421.8095496567,1270.0409207625,1270.0409207625,76.8654501193,76.8654501193,76.8654501193,-14.1038306062,-14.1038306062,-14.1038306062,90.9692807255,90.9692807255,90.9692807255,0.0,0.0,0.0,1346.9063708818
1443830400000,1270.1621624668,317.6146878095,2482.7988314185,1270.1621624668,1270.1621624668,134.4415877042,134.4415877042,134.4415877042,39.7329835995,39.7329835995,39.7329835995,94.7086041047,94.7086041047,94.7086041047,0.0,0.0,0.0,1404.603750171
1444003200000,1270.4046458755,307.7421569157,2424.3885367191,1270.4046458755,1270.4046458755,80.5600744934,80.5600744934,80.5600744934,-22.2589745518,-22.2589745518,-22.2589745518,102.8190490452,102.8190490452,102.8190490452,0.0,0.0,0.0,1350.9647203689
